MJD	CSP_B_old	CSP_B_old_err	CSP_V9844	CSP_V9844_err	CSP_g_old	CSP_g_old_err	CSP_i_old	CSP_i_old_err	CSP_r_old	CSP_r_old_err	CSP_u_old	CSP_u_old_err
54147.90453125246	1.2252645239792267e-15	6.230006397355533e-16	1.7555297965328504e-15	4.731390770520025e-16	1.4964000868808258e-15	8.927252804724126e-16	1.1888705212702402e-15	2.277851610218569e-16	1.824818086551716e-15	4.447384663496556e-16	nan	nan
54147.954531252464	1.2241566715966675e-15	6.237503908841105e-16	1.7536427635986652e-15	4.737003755113104e-16	1.494578977495621e-15	8.98180902171264e-16	1.1873739310567438e-15	2.291970734485894e-16	1.8221400658197184e-15	4.47499420943971e-16	nan	nan
54148.00453125247	1.2230598505340906e-15	6.243616414067276e-16	1.7517684084807846e-15	4.741550936302751e-16	1.4927658019898625e-15	9.035317274451022e-16	1.1858881750807211e-15	2.3058202647997906e-16	1.8194764114882673e-15	4.502077727739665e-16	nan	nan
54148.05453125247	1.2219740798915283e-15	6.248344744100512e-16	1.7499066307189419e-15	4.745032976431986e-16	1.490960620409324e-15	9.087775859997634e-16	1.1844131626576535e-15	2.31939947282884e-16	1.8168270660905238e-15	4.528633860617418e-16	nan	nan
54148.10453125247	1.2208993781293184e-15	6.251689859385588e-16	1.7480573297165472e-15	4.747450652944224e-16	1.4891634919428878e-15	9.13918313731648e-16	1.1829488031986726e-15	2.332707652621807e-16	1.8141919722326172e-15	4.554661291958736e-16	nan	nan
54148.154531252476	1.2198357630705919e-15	6.253652850052897e-16	1.7462204047376013e-15	4.748804858630661e-16	1.487374474927769e-15	9.189537526569488e-16	1.181495006209011e-15	2.345744120416365e-16	1.8115710725926247e-15	4.580158746968495e-16	nan	nan
54148.20453125248	1.2187832519036543e-15	6.254234936286428e-16	1.7443957549036253e-15	4.749096601915258e-16	1.4855936268545298e-15	9.238837508433032e-16	1.180051681286262e-15	2.358508214456602e-16	1.808964309919603e-15	4.60512499184026e-16	nan	nan
54148.25453125248	1.2177418611844017e-15	6.253437468752458e-16	1.7425832791905199e-15	4.748327007176554e-16	1.4838210043721775e-15	9.287081623438775e-16	1.1786187381186005e-15	2.3709992948196077e-16	1.8063716270324156e-15	4.629558833439959e-16	nan	nan
54148.304531252485	1.2167116068385665e-15	6.251261929088935e-16	1.7407828764254288e-15	4.746497315106295e-16	1.4820566632931058e-15	9.334268471337313e-16	1.1771960864831965e-15	2.3832167432496096e-16	1.8037929668188552e-15	4.653459119003764e-16	nan	nan
54148.35453125249	1.2156925041640042e-15	6.247709930455511e-16	1.7389944452836776e-15	4.743608883106511e-16	1.4803006585980517e-15	9.380396710485437e-16	1.1757836362444972e-15	2.3951599630003274e-16	1.8012282722345793e-15	4.676824735849306e-16	nan	nan
