MJD	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	LT_IOO_u	LT_IOO_u_err	LT_IOO_z	LT_IOO_z_err	atlas_c	atlas_c_err	atlas_o	atlas_o_err
57739.770000000324	nan	nan	3.486350819431491e-17	1.7238397095581284e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.82000000033	nan	nan	3.520915063522577e-17	1.7369697340322025e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.87000000033	nan	nan	3.5554430894749313e-17	1.75006898488472e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.92000000033	nan	nan	3.589935198070332e-17	1.7631335715949767e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57739.970000000336	nan	nan	3.624391689873689e-17	1.7761604081379583e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57740.02000000034	nan	nan	3.658812865234487e-17	1.789147215786431e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57740.07000000034	nan	nan	3.6931990242868624e-17	1.8020925217820843e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57740.120000000345	nan	nan	3.7275504669523093e-17	1.8149956541707797e-18	nan	nan	nan	nan	nan	nan	7.405660388637026e-17	1.9817274138777936e-17	nan	nan
57740.17000000035	nan	nan	3.761867492940251e-17	1.82785673296388e-18	5.659279371660806e-17	9.830579903461675e-18	2.517079956438228e-17	8.397365808800717e-18	nan	nan	7.503338106522179e-17	1.9447944249871158e-17	nan	nan
57740.22000000035	nan	nan	3.796150401749728e-17	1.8406766578630727e-18	5.734200902105974e-17	9.69008049813345e-18	2.5523905156517713e-17	8.252787080625355e-18	nan	nan	7.601623404553263e-17	1.9081504728170378e-17	nan	nan
57740.27000000035	nan	nan	3.830399492670846e-17	1.8534570926617582e-18	5.809407617713483e-17	9.55132757326445e-18	2.5878798175508482e-17	8.109073787348044e-18	nan	nan	7.700519392405607e-17	1.871807227563765e-17	nan	nan
57740.320000000356	nan	nan	3.8646150647857966e-17	1.8662004465086176e-18	5.884900376592347e-17	9.41436649330737e-18	2.6235485883390873e-17	7.966253333927262e-18	nan	nan	7.800029194273305e-17	1.8357768445531993e-17	nan	nan
57740.37000000036	nan	nan	3.8987974169704096e-17	1.8789098521126453e-18	5.960680039178848e-17	9.279243668076866e-18	2.6593975568912862e-17	7.824354125023469e-18	nan	nan	7.900155948933924e-17	1.8000719872307575e-17	nan	nan
57740.42000000036	nan	nan	3.9329468478957056e-17	1.8915891410235208e-18	6.036747468242618e-17	9.14600653314763e-18	2.6954274547628515e-17	7.683405614854458e-18	nan	nan	8.00090280981289e-17	1.7647058506828625e-17	nan	nan
57740.470000000365	nan	nan	3.9670636560282803e-17	1.9042428160467393e-18	6.113103528893006e-17	9.01470352286696e-18	2.7316390161990386e-17	7.543438359556942e-18	nan	nan	8.102272945048055e-17	1.7296921855423315e-17	nan	nan
57740.52000000037	nan	nan	4.001148139633445e-17	1.9168760208971807e-18	6.189749088584191e-17	8.885384035104983e-18	2.7680329781442407e-17	7.40448407211282e-18	nan	nan	8.204269537555002e-17	1.695045322087515e-17	nan	nan
57740.57000000037	nan	nan	4.035200596774452e-17	1.929494507124003e-18	6.266685017122009e-17	8.758098386845836e-18	2.804610080251517e-17	7.26657567985839e-18	nan	nan	8.306895785092322e-17	1.6607801942927067e-17	nan	nan
57740.620000000374	nan	nan	4.069221325316052e-17	1.94210459840303e-18	6.343912186669705e-17	8.632897759667343e-18	2.841371064891879e-17	7.129747384579584e-18	nan	nan	8.410154900327439e-17	1.6269123635267932e-17	nan	nan
57740.67000000038	nan	nan	4.1032106229236516e-17	1.9547131522066756e-18	6.421431471753389e-17	8.509834134119752e-18	2.878316677163697e-17	6.994034725161172e-18	nan	nan	8.514050110902199e-17	1.5934580415277503e-17	nan	nan
57740.72000000038	nan	nan	4.1371687870666245e-17	1.9673275189376425e-18	6.499243749269365e-17	8.388960211979934e-18	2.915447664902325e-17	6.859474642715246e-18	nan	nan	8.618584659499164e-17	1.5604341121961532e-17	nan	nan
57740.77000000038	nan	nan	4.1710961150177846e-17	1.9799554985567343e-18	6.577349898488952e-17	8.270329325357445e-18	2.952764778689433e-17	6.726105548070154e-18	nan	nan	8.723761803908222e-17	1.5278581516567364e-17	nan	nan
57740.820000000385	nan	nan	4.2049928996871174e-17	1.9926024998663624e-18	6.655750783633739e-17	8.15399517685503e-18	2.990268771862682e-17	6.593967391413951e-18	nan	nan	8.8295848170933e-17	1.495748445928019e-17	nan	nan
57740.87000000039	nan	nan	4.238859417113414e-17	2.0052631255896147e-18	6.734445603827193e-17	8.039997074232187e-18	3.027960400525183e-17	6.463101733855313e-18	nan	nan	8.936056987259355e-17	1.4641240054142153e-17	nan	nan
57740.92000000039	nan	nan	4.2726959389746465e-17	2.0179295775253684e-18	6.81343053598912e-17	7.928347804651172e-18	3.065840423555159e-17	6.333551820520566e-18	nan	nan	9.043181617919696e-17	1.4330045752974678e-17	nan	nan
57740.970000000394	nan	nan	4.306502736758186e-17	2.0305944858659146e-18	6.892701439984043e-17	7.81905764615151e-18	3.1039096026155687e-17	6.2053626547370356e-18	nan	nan	9.15096202796367e-17	1.4024106407508746e-17	nan	nan
57741.0200000004	nan	nan	4.3402800817621765e-17	2.0432509394617223e-18	6.972254177985354e-17	7.712137211861943e-18	3.142168702163687e-17	6.078581072692912e-18	nan	nan	9.259401551724513e-17	1.37236342572777e-17	nan	nan
57741.0700000004	nan	nan	4.3740282450964506e-17	2.055892512167847e-18	7.052084614438299e-17	7.607597454761209e-18	3.1806184894609023e-17	5.953255817821633e-18	nan	nan	9.368503539047517e-17	1.342884883898259e-17	nan	nan
57741.1200000004	nan	nan	4.4077474976845063e-17	2.0685132854915866e-18	7.13218861602385e-17	7.505449667952335e-18	3.219259734582499e-17	5.829437613973915e-18	nan	nan	9.478271355358711e-17	1.3139976801183982e-17	nan	nan
57741.170000000406	nan	nan	4.441438110263435e-17	2.0811078677519597e-18	7.212562051621512e-17	7.405705479986202e-18	3.2580932104271485e-17	5.707179236206623e-18	nan	nan	9.588708381733278e-17	1.2857251606219056e-17	nan	nan
57741.22000000041	nan	nan	4.475100353386602e-17	2.093671409959029e-18	7.293200792273272e-17	7.30837684475257e-18	3.2971196927269785e-17	5.586535577796935e-18	nan	nan	9.699818014965139e-17	1.2580913099355464e-17	nan	nan
57741.27000000041	nan	nan	4.5087344974238564e-17	2.106199618589605e-18	7.374100711146901e-17	7.213476025456673e-18	3.336339960057302e-17	5.467563711764131e-18	nan	nan	9.811603667635789e-17	1.2311206923473067e-17	nan	nan
57741.320000000414	nan	nan	4.542340812562696e-17	2.118688765476656e-18	7.455257683499132e-17	7.121015572181471e-18	3.3757547938464234e-17	5.3503229448780926e-18	nan	nan	9.924068768184282e-17	1.2048383756071505e-17	nan	nan
57741.37000000042	nan	nan	4.575919568810419e-17	2.131135694904105e-18	7.536667586639454e-17	7.0310082925826e-18	3.415364978385637e-17	5.234874861737775e-18	nan	nan	1.003721676097712e-16	1.1792698344408892e-17	nan	nan
57741.42000000042	nan	nan	4.6094710359942615e-17	2.1435378281374964e-18	7.618326299893163e-17	6.943467215233935e-18	3.455171300839017e-17	5.12128335607862e-18	nan	nan	1.015105110637854e-16	1.1544408314223258e-17	nan	nan
57741.47000000042	nan	nan	4.642995483763024e-17	2.1558931654665864e-18	7.700229704565806e-17	6.858405545198943e-18	3.4951745512534566e-17	5.009614646009001e-18	nan	nan	1.0265575280820898e-16	1.1303772728010925e-17	nan	nan
57741.520000000426	nan	nan	4.67649318158823e-17	2.168200285927312e-18	7.78237368390533e-17	6.775836611442089e-18	3.5353755225686794e-17	4.899937269340852e-18	nan	nan	1.0380792776875843e-16	1.1071050370574104e-17	nan	nan
57741.57000000043	nan	nan	4.709964398765717e-17	2.1804583447738524e-18	7.864754123066509e-17	6.6957738057020505e-18	3.575775010627238e-17	4.792322054635187e-18	nan	nan	1.0496704218599027e-16	1.0846449376522133e-17	nan	nan
57741.62000000043	nan	nan	4.743409404416374e-17	2.1926670688416107e-18	7.947366909074286e-17	6.618230512559645e-18	3.6163738141845265e-17	4.686842062983172e-18	nan	nan	1.061329632176688e-16	1.0629940399029393e-17	nan	nan
57741.670000000435	nan	nan	4.776828467487235e-17	2.204826749865547e-18	8.030207930787358e-17	6.5432200304749134e-18	3.657172734918871e-17	4.583572494955025e-18	nan	nan	1.0730551622111309e-16	1.0421419725681734e-17	nan	nan
57741.72000000044	nan	nan	4.8102218567528204e-17	2.2169382358400187e-18	8.113273078861405e-17	6.470755483642411e-18	3.698172577441793e-17	4.4825905565269124e-18	nan	nan	1.0848452669882906e-16	1.0220780376080737e-17	nan	nan
57741.77000000044	nan	nan	4.8435898408173205e-17	2.229002920476944e-18	8.196558245712973e-17	6.4008497246455135e-18	3.7393741493079865e-17	4.383975277245472e-18	nan	nan	1.0966982030234704e-16	1.0027912941867486e-17	nan	nan
57741.82000000044	nan	nan	4.876932688113435e-17	2.2410227308537187e-18	8.280059325482913e-17	6.333515227968643e-18	3.780778261025556e-17	4.287807273380156e-18	nan	nan	1.1086122282751904e-16	9.842706462407539e-18	nan	nan
57741.87000000045	nan	nan	4.910250666906142e-17	2.253000113262411e-18	8.363772213999865e-17	6.268763974562823e-18	3.8223857260663845e-17	4.194168448453436e-18	nan	nan	1.1205856020981218e-16	9.665049342118109e-18	nan	nan
57741.92000000045	nan	nan	4.943544045292383e-17	2.2649380173342e-18	8.447692808744157e-17	6.206607327791687e-18	3.864197360876193e-17	4.1031416233137074e-18	nan	nan	1.1326165851961775e-16	9.494830299304692e-18	nan	nan
57741.97000000045	nan	nan	4.9768130912026144e-17	2.2768398784669902e-18	8.531817008811221e-17	6.1470559012230215e-18	3.9062137540265245e-17	4.0148058260132204e-18	nan	nan	1.1447034395754396e-16	9.331939334575488e-18	nan	nan
57742.020000000455	nan	nan	5.010058072402323e-17	2.2887095985867114e-18	8.616140714874921e-17	6.090119418880205e-18	3.948432400097017e-17	3.9291829146678525e-18	nan	nan	1.1568444284972896e-16	9.176268705276693e-18	nan	nan
57742.07000000046	nan	nan	5.043279256492483e-17	2.3005515252842967e-18	8.70065982915172e-17	6.0358065687206815e-18	3.990848583042453e-17	3.84625377330551e-18	nan	nan	1.1690378164314428e-16	9.027713890708093e-18	nan	nan
57742.12000000046	nan	nan	5.076476910911568e-17	2.3123704293252484e-18	8.78537025536373e-17	5.984124850268921e-18	4.033457541782441e-17	3.765998489571852e-18	nan	nan	1.18128186900907e-16	8.886174531520351e-18	nan	nan
57742.170000000464	nan	nan	5.1096513029360075e-17	2.3241714805995865e-18	8.870267898702962e-17	5.935080417472919e-18	4.0762545180304544e-17	3.688397468907717e-18	nan	nan	1.1935748529759062e-16	8.751555325398359e-18	nan	nan
57742.22000000047	nan	nan	5.1428026996821986e-17	2.3359602224799074e-18	8.955348470909866e-17	5.888674702404478e-18	4.1192347562161894e-17	3.6134316694593306e-18	nan	nan	1.2059150361453886e-16	8.623766860197601e-18	nan	nan
57742.27000000047	nan	nan	5.175931368042017e-17	2.3477425273747306e-18	9.040605673202353e-17	5.84487430758627e-18	4.162393503407708e-17	3.541082839464812e-18	nan	nan	1.2183006873518294e-16	8.502726364945545e-18	nan	nan
57742.32000000047	nan	nan	5.209037560989279e-17	2.359520922368599e-18	9.126032021215998e-17	5.803624686103163e-18	4.205726009233877e-17	3.4713337538291765e-18	nan	nan	1.2307300764035724e-16	8.38835835883681e-18	nan	nan
57742.370000000476	nan	nan	5.242121500640497e-17	2.3712900660184223e-18	9.211620016520183e-17	5.76486967753529e-18	4.2492275258066414e-17	3.4041684461086926e-18	nan	nan	1.243201474036225e-16	8.280595178333324e-18	nan	nan
57742.42000000048	nan	nan	5.2751834048021373e-17	2.383043832449972e-18	9.297362161893982e-17	5.7285519826472225e-18	4.2928933076434404e-17	3.339572431599499e-18	nan	nan	1.2557131518658227e-16	8.179377363013656e-18	nan	nan
57742.47000000048	nan	nan	5.308223491125778e-17	2.394776438068889e-18	9.38325096126088e-17	5.6946133913645936e-18	4.336718611589563e-17	3.2775329167362986e-18	nan	nan	1.268263382342102e-16	8.084653881706399e-18	nan	nan
57742.520000000484	nan	nan	5.341241977108429e-17	2.4064824599575163e-18	9.469278919623489e-17	5.662995015146405e-18	4.380698696740541e-17	3.218038989513965e-18	nan	nan	1.2808504387017086e-16	7.996382182005781e-18	nan	nan
57742.57000000049	nan	nan	5.3742390800939075e-17	2.4181568520092475e-18	9.555438542997732e-17	5.6336375215006636e-18	4.424828824364677e-17	3.1610817852248255e-18	nan	nan	1.293472594921486e-16	7.914528048226997e-18	nan	nan
57742.62000000049	nan	nan	5.4072150172740334e-17	2.4297949589430664e-18	9.641722338348744e-17	5.606481368513365e-18	4.4691042578255626e-17	3.106654621425687e-18	nan	nan	1.3061281256717183e-16	7.839065255533587e-18	nan	nan
57742.67000000049	nan	nan	5.4401700056890925e-17	2.441392528276162e-18	9.728122813524183e-17	5.581467037228089e-18	4.5135202625043525e-17	3.0547530957811938e-18	nan	nan	1.3188153062694255e-16	7.769975011105238e-18	nan	nan
