MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
57850.52,16.95,0.02,3.9647904926137875e-16,7.303413988109608e-18,atlas_o,ATLAS,GeneralFilters
57854.49,17.0,0.1,3.78634552557444e-16,3.4873531056449574e-17,atlas_o,ATLAS,GeneralFilters
57858.51,17.24,0.06,3.035430148259127e-16,1.6774406904494777e-17,atlas_o,ATLAS,GeneralFilters
57882.48,17.64,0.07,2.100004586626718e-16,1.3539229917880226e-17,atlas_o,ATLAS,GeneralFilters
57887.56,17.7,0.1,1.987102378904811e-16,1.8301889263676903e-17,atlas_o,ATLAS,GeneralFilters
57891.54,17.66,0.07,2.061675183253313e-16,1.329211112195357e-17,atlas_o,ATLAS,GeneralFilters
57892.55,17.68,0.07,2.0240453703342892e-16,1.3049502752370977e-17,atlas_o,ATLAS,GeneralFilters
57895.53,17.7,0.08,1.987102378904811e-16,1.464151141094152e-17,atlas_o,ATLAS,GeneralFilters
57896.52,17.75,0.06,1.8976680395196548e-16,1.048690113419804e-17,atlas_o,ATLAS,GeneralFilters
57899.52,17.79,0.04,1.8290275336926432e-16,6.7383864540101526e-18,atlas_o,ATLAS,GeneralFilters
57900.52,17.8,0.03,1.8122589084711016e-16,5.007456416749453e-18,atlas_o,ATLAS,GeneralFilters
57903.51,17.76,0.07,1.880270114358099e-16,1.2122549421144875e-17,atlas_o,ATLAS,GeneralFilters
57904.5,17.92,0.07,1.6226327726983871e-16,1.0461500094692929e-17,atlas_o,ATLAS,GeneralFilters
57906.47,17.96,0.07,1.5639405610101457e-16,1.0083097421909961e-17,atlas_o,ATLAS,GeneralFilters
57907.49,17.92,0.04,1.6226327726983871e-16,5.978000054110244e-18,atlas_o,ATLAS,GeneralFilters
57910.46,18.0,0.1,1.5073713039243334e-16,1.3883402776092674e-17,atlas_o,ATLAS,GeneralFilters
57912.5,18.0,0.2,1.5073713039243334e-16,2.776680555218535e-17,atlas_o,ATLAS,GeneralFilters
57914.44,18.0,0.1,1.5073713039243334e-16,1.3883402776092674e-17,atlas_o,ATLAS,GeneralFilters
57915.49,17.9,0.1,1.6527997682449574e-16,1.522284843225938e-17,atlas_o,ATLAS,GeneralFilters
57916.46,17.9,0.02,1.6527997682449574e-16,3.0445696864518762e-18,atlas_o,ATLAS,GeneralFilters
57925.43,18.1,0.1,1.3747389681130435e-16,1.266181381894042e-17,atlas_o,ATLAS,GeneralFilters
57927.43,18.4,0.1,1.0428461527293167e-16,9.604968022242868e-18,atlas_o,ATLAS,GeneralFilters
57929.43,18.31,0.09,1.1329747818156044e-16,9.39157503604845e-18,atlas_o,ATLAS,GeneralFilters
57933.42,18.29,0.01,1.1540383556398667e-16,1.0629086057758875e-18,atlas_o,ATLAS,GeneralFilters
57937.41,18.15,0.04,1.312865522262717e-16,4.83677532906876e-18,atlas_o,ATLAS,GeneralFilters
57939.42,18.2,0.2,1.2537768402040564e-16,2.3095422897560265e-17,atlas_o,ATLAS,GeneralFilters
57941.4,18.2,0.2,1.2537768402040564e-16,2.3095422897560265e-17,atlas_o,ATLAS,GeneralFilters
57945.42,18.21,0.09,1.24228214504089e-16,1.0297657254469755e-17,atlas_o,ATLAS,GeneralFilters
57949.39,18.54,0.06,9.166852498395287e-17,5.065789898995242e-18,atlas_o,ATLAS,GeneralFilters
57953.38,18.5,0.1,9.510869950697433e-17,8.759834947952372e-18,atlas_o,ATLAS,GeneralFilters
57955.37,18.5,0.2,9.510869950697433e-17,1.7519669895904744e-17,atlas_o,ATLAS,GeneralFilters
57957.37,18.6,0.2,8.674016486740466e-17,1.5978128847002516e-17,atlas_o,ATLAS,GeneralFilters
57959.37,18.5,0.05,9.510869950697433e-17,4.379917473976186e-18,atlas_o,ATLAS,GeneralFilters
57965.36,18.77,0.09,7.416862764824726e-17,6.148064750064486e-18,atlas_o,ATLAS,GeneralFilters
57967.35,18.5,0.2,9.510869950697433e-17,1.7519669895904744e-17,atlas_o,ATLAS,GeneralFilters
57969.34,18.8,0.1,7.214732663617989e-17,6.645014352473605e-18,atlas_o,ATLAS,GeneralFilters
57972.32,18.6,0.3,8.674016486740466e-17,2.3967193270503774e-17,atlas_o,ATLAS,GeneralFilters
57974.28,18.6,0.1,8.674016486740466e-17,7.989064423501258e-18,atlas_o,ATLAS,GeneralFilters
57976.32,18.62,0.04,8.515697843578884e-17,3.1372990257706055e-18,atlas_o,ATLAS,GeneralFilters
57978.32,18.8,0.06,7.214732663617989e-17,3.987008611484162e-18,atlas_o,ATLAS,GeneralFilters
57980.3,18.9,0.05,6.579914392274754e-17,3.030162558565765e-18,atlas_o,ATLAS,GeneralFilters
57982.3,19.0,0.3,6.000953247788529e-17,1.6581246590534453e-17,atlas_o,ATLAS,GeneralFilters
57990.27,19.0,0.1,6.000953247788529e-17,5.527082196844818e-18,atlas_o,ATLAS,GeneralFilters
