MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err
58056.275000004534	4.1266596806476583e-16	4.473775794113201e-17	5.422227866899103e-16	2.625268240039428e-17	4.804281252512606e-16	3.6595976195897266e-17	2.356807679431879e-16	9.225084202590687e-18	3.724554752782813e-16	2.1402337846850256e-17
58056.32500000454	4.1344543269896164e-16	4.564241477513583e-17	5.418817126962479e-16	2.6616044975294687e-17	4.805469840800613e-16	3.718508047139013e-17	2.354437760466877e-16	9.327940567638679e-18	3.7233446990946767e-16	2.166227367603261e-17
58056.37500000454	4.142417628162512e-16	4.648584646433103e-17	5.415451703151708e-16	2.6953574668821228e-17	4.806722731174716e-16	3.773296199295613e-17	2.3520848294082943e-16	9.42493167532625e-18	3.722203857426749e-16	2.1903490811246207e-17
58056.42500000454	4.150542365663913e-16	4.726707585270635e-17	5.412130124040299e-16	2.7264365255651544e-17	4.808037006284196e-16	3.823844933354222e-17	2.3497483240955746e-16	9.515786899867628e-18	3.721129850978823e-16	2.2125249305724448e-17
58056.475000004546	4.158821324644021e-16	4.798519175456126e-17	5.408850918537011e-16	2.7547587647590512e-17	4.809409749555208e-16	3.87004686855884e-17	2.3474276824820473e-16	9.600263358915861e-18	3.7201203038042505e-16	2.2326873233444705e-17
58056.52500000455	4.1672472937065484e-16	4.863934332384986e-17	5.405612615868914e-16	2.780248273279058e-17	4.810838045122956e-16	3.9118033893235426e-17	2.345122342627869e-16	9.678144298319276e-18	3.719172840770303e-16	2.2507745398399557e-17
58056.57500000455	4.175813064708086e-16	4.9228735396925176e-17	5.402413745562169e-16	2.802835522694295e-17	4.812318977764443e-16	3.949023800527258e-17	2.34283174269292e-16	9.749237704474648e-18	3.718285087519214e-16	2.2667302753099642e-17
58056.625000004555	4.1845114325597346e-16	4.975262462232097e-17	5.399252837423956e-16	2.822456840185742e-17	4.813849632830632e-16	3.981624610370629e-17	2.3405553209295923e-16	9.81337513106169e-18	3.7174546704282134e-16	2.2805032450197512e-17
58056.67500000456	4.193335195026619e-16	5.021031623302797e-17	5.396128421525151e-16	2.8390539577346914e-17	4.815427096179445e-16	4.0095289207860636e-17	2.3382925156759356e-16	9.870410728470448e-18	3.716679216570551e-16	2.2920468462165884e-17
58056.72500000456	4.2022771525290707e-16	5.060116134952702e-17	5.393039028181192e-16	2.852573628221167e-17	4.81704845410763e-16	4.032665909067267e-17	2.3360427653483727e-16	9.92022046543333e-18	3.715956353676181e-16	2.301318871329155e-17
58056.77500000456	4.2113301079428487e-16	5.092455472571374e-17	5.389983187934832e-16	2.86296730049287e-17	4.818710793283932e-16	4.0509703874186134e-17	2.333805508434618e-16	9.962701534188235e-18	3.7152837100920873e-16	2.3082812677542107e-17
58056.82500000457	4.220486866399882e-16	5.1179932870273e-17	5.386959431537115e-16	2.87019084704678e-17	4.820411200681228e-16	4.064382429562689e-17	2.33158018348673e-16	9.997771932465015e-18	3.714658914743432e-16	2.3128999405032564e-17
58056.87500000457	4.2297402350889237e-16	5.136677249036615e-17	5.383966289930131e-16	2.8742043391116965e-17	4.822146763509013e-16	4.072847055682759e-17	2.3293662291138693e-16	1.0025370217338632e-17	3.714079597093388e-16	2.3151445947652217e-17
58056.92500000457	4.2390830230562825e-16	5.1484589217809444e-17	5.381002294228109e-16	2.874971865161555e-17	4.823914569146132e-16	4.076313968677883e-17	2.3271630839753274e-16	1.0045455428104604e-17	3.7135433871048405e-16	2.314988616261084e-17
58056.975000004575	4.248508041006819e-16	5.153293658726213e-17	5.378065975699998e-16	2.8724613898621545e-17	4.825711705073209e-16	4.0747373362164845e-17	2.324970186773291e-16	1.0058007177312342e-17	3.7130479152002163e-16	2.312408988060905e-17
58057.02500000458	4.258008101103959e-16	5.1511405245304474e-17	5.375155865750481e-16	2.8666446515099965e-17	4.827535258805045e-16	4.068075614382771e-17	2.322786976245863e-16	1.0063025911152913e-17	3.712590812222649e-16	2.3073862432909983e-17
58057.07500000458	4.2675760167714623e-16	5.141962237660587e-17	5.372270495902932e-16	2.857497096954996e-17	4.8293823178233e-16	4.056291409874673e-17	2.3206128911600423e-16	1.006053334235301e-17	3.7121697093963623e-16	2.2999044539896708e-17
58057.125000004584	4.277204602493548e-16	5.125725134034332e-17	5.369408397780023e-16	2.8449978539604205e-17	4.831249969508949e-16	4.0393513788069217e-17	2.318447370304385e-16	1.00505730609453e-17	3.7117822382876823e-16	2.2899512572251682e-17
58057.17500000459	4.286886673616046e-16	5.102399151724992e-17	5.366568103086952e-16	2.829129742046794e-17	4.833135301074704e-16	4.017226161240608e-17	2.3162898524821914e-16	1.0033211330230683e-17	3.711426030765164e-16	2.2775179205267544e-17
58057.22500000459	4.296615046146982e-16	5.071957837442966e-17	5.363748143592013e-16	2.809879323898526e-17	4.835035399497608e-16	3.989890351618682e-17	2.314139776504203e-16	1.0008538077329841e-17	3.711098718961151e-16	2.2625994497383558e-17
58057.27500000459	4.306382536557996e-16	5.034378376299929e-17	5.360947051109554e-16	2.787237000740956e-17	4.836947351451452e-16	3.9573225064365417e-17	2.311996581181678e-16	9.97666808973953e-18	3.710797935231503e-16	2.245194743609919e-17
58057.325000004595	4.316181961584257e-16	4.9896416472093526e-17	5.358163357480923e-16	2.7611971565758494e-17	4.838868243239367e-16	3.919505191783659e-17	2.3098597053191793e-16	9.937742431315039e-18	3.710521312116869e-16	2.225306800894634e-17
