MJD	nickel2_B	nickel2_B_err	nickel2_I	nickel2_I_err	nickel2_R	nickel2_R_err	nickel2_V	nickel2_V_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55799.55500000021	nan	nan	nan	nan	nan	nan	nan	nan	9.078015262463625e-15	2.3547472655637395e-16	2.6815224757373634e-14	1.459757864202438e-15	2.9142060130111364e-14	5.429282824415274e-15	-2.105849956472434e-15	1.360971480319063e-15	5.0606731930032365e-15	3.557653676819179e-15	-9.720432737189984e-15	3.9677020315989254e-15	2.6444588647903916e-14	2.603677921638642e-15
55799.605000000214	nan	nan	nan	nan	nan	nan	nan	nan	9.420567933084837e-15	1.4366679059648148e-16	2.7680855473111e-14	1.4661999258885114e-15	2.947722501268489e-14	5.2983353802178645e-15	-2.0558642945106726e-15	1.331018328324875e-15	5.252540812182659e-15	3.623053326685198e-15	-9.511034804698118e-15	3.915480024125023e-15	2.7180374328912216e-14	2.6552012047497015e-15
55799.65500000022	nan	nan	nan	nan	nan	nan	nan	nan	9.767663077375509e-15	5.580321344592138e-17	2.855098756601121e-14	1.4706004137203954e-15	2.981349739334341e-14	5.16760753041537e-15	-2.0055280292517453e-15	1.3011534301489985e-15	5.448681182746985e-15	3.685745577971137e-15	-9.30064145740956e-15	3.863400186202645e-15	2.7918846795926955e-14	2.7054747899382694e-15
55799.70500000022	nan	nan	nan	nan	nan	nan	nan	nan	1.011946116825281e-14	9.066350516646927e-17	2.942510928378806e-14	1.4730736129781872e-15	3.015088016478223e-14	5.037119344928851e-15	-1.9548393983669405e-15	1.2713795470725932e-15	5.6492022415603605e-15	3.745740149042626e-15	-9.089249267180234e-15	3.811465723080337e-15	2.8660038578120874e-14	2.7545133170340045e-15
55799.75500000022	nan	nan	nan	nan	nan	nan	nan	nan	1.0476164636911868e-14	1.9553672721655063e-16	3.030270897421928e-14	1.473754470295681e-15	3.048937622652438e-14	4.906892877742093e-15	-1.9037966317378737e-15	1.2416995009981709e-15	5.854212026263322e-15	3.803047266233773e-15	-8.876854795453795e-15	3.759679905901331e-15	2.940398221242887e-14	2.8023326584786697e-15
55799.805000000226	nan	nan	nan	nan	nan	nan	nan	nan	1.0838000700351843e-14	3.0536286219199407e-16	3.118327507152696e-14	1.4728007383204107e-15	3.082898848489369e-14	4.77695242503282e-15	-1.8523979514245663e-15	1.2121161767220265e-15	6.063818677758755e-15	3.857677669448202e-15	-8.66345459324001e-15	3.70804607396578e-15	3.0150710243583197e-14	2.8489498527976296e-15
55799.85500000023	nan	nan	nan	nan	nan	nan	nan	nan	1.120519697360957e-14	4.157893564874041e-16	3.206629608274477e-14	1.4703953105551185e-15	3.116971985307733e-14	4.647324823650431e-15	-1.8006415716337034e-15	1.182632524367573e-15	6.278130442685551e-15	3.909642618235358e-15	-8.449045201080709e-15	3.656567637107419e-15	3.0900255224278574e-14	2.8943830496416624e-15
55799.90500000023	nan	nan	nan	nan	nan	nan	nan	nan	1.157798115385497e-14	5.257068632401163e-16	3.295126057413428e-14	1.466748711536789e-15	3.151157325110368e-14	4.518039797282302e-15	-1.748525698685252e-15	1.1532515619990866e-15	6.497255675897541e-15	3.9589538983330496e-15	-8.233623149021304e-15	3.605248078187302e-15	3.1652649715137056e-14	2.938651464390005e-15
55799.955000000235	nan	nan	nan	nan	nan	nan	nan	nan	1.1956581023936618e-14	6.344963955416593e-16	3.383765715754337e-14	1.4621016812525868e-15	3.185455160589143e-14	4.3891303590739044e-15	-1.6960485309803582e-15	1.1239763784389076e-15	6.72130284295139e-15	4.005623828674976e-15	-8.017184956586166e-15	3.5540909557165925e-15	3.240792628502608e-14	2.981775340734783e-15
55800.00500000024	nan	nan	nan	nan	nan	nan	nan	nan	1.2341224455839812e-14	7.416894934372746e-16	3.4724974476807925e-14	1.4567277572044814e-15	3.2198657851216144e-14	4.260633281324944e-15	-1.643208258968935e-15	1.0948101363127246e-15	6.950380522582627e-15	4.04966526884559e-15	-7.799727132734292e-15	3.5030999066121592e-15	3.3166117510870397e-14	3.0237759197660897e-15
