MJD	KeplerCam_B	KeplerCam_B_err	KeplerCam_V	KeplerCam_V_err	KeplerCam_i	KeplerCam_i_err	KeplerCam_r	KeplerCam_r_err	KeplerCam_u	KeplerCam_u_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55478.43000000013	6.316578065288094e-15	2.898841865461213e-16	4.885513413536687e-15	2.195464358319908e-16	2.884488173959992e-15	1.287171159991459e-16	4.691047957338325e-15	2.1100729386374952e-16	1.1576034080168258e-14	5.611458304089372e-16	6.139364182741592e-15	2.9940164444687035e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.4731208444855746e-15	2.178537370403519e-16
55478.480000000134	6.3389916562163704e-15	2.886067352536766e-16	4.90231262470431e-15	2.1862064550618246e-16	2.8943054222972946e-15	1.281831685948536e-16	4.707558156637709e-15	2.101178491895386e-16	1.1621737678772393e-14	5.583619203634811e-16	6.167002791970828e-15	2.980228357055928e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.493342063979422e-15	2.1685250804325984e-16
55478.53000000014	6.361432895298828e-15	2.873548615504072e-16	4.919129657051303e-15	2.1771098842792408e-16	2.9041325874934316e-15	1.2765815339100192e-16	4.724083093168837e-15	2.092434360348089e-16	1.1667493195267034e-14	5.556685041349289e-16	6.194675100348687e-15	2.967300932245094e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.513587634686204e-15	2.1591434186674063e-16
55478.58000000014	6.383901426461996e-15	2.8612848349011693e-16	4.935964288800834e-15	2.168174341633358e-16	2.9139695473565626e-15	1.2714205663406258e-16	4.740622579164863e-15	2.0838402880381647e-16	1.1713299389759093e-14	5.530648012260472e-16	6.222379911731611e-15	2.955219207237794e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.533856681095263e-15	2.1503813341990126e-16
55478.63000000014	6.406396893672818e-15	2.849275155152001e-16	4.952816298194628e-15	2.1593995048169784e-16	2.9238161797040065e-15	1.266348636463672e-16	4.757176426870641e-15	2.0753960026487421e-16	1.1759155022444504e-14	5.505500050040264e-16	6.2501160300765114e-15	2.9439678682081196e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.554148327767719e-15	2.1422275197225978e-16
55478.680000000146	6.42891894093811e-15	2.8375186845930583e-16	4.969685463492569e-15	2.1507850334391712e-16	2.9336723623620623e-15	1.2613655881780099e-16	4.773744448540919e-15	2.0671012153617982e-16	1.1805058853606392e-14	5.481232833695832e-16	6.2778822594369495e-15	2.9335312845587997e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.574461699333674e-15	2.1346704370453322e-16
55478.73000000015	6.451467212304281e-15	2.826014495513075e-16	4.986571562972115e-15	2.1423305689090841e-16	2.9435379731659075e-15	1.2564712559852435e-16	4.790326456439358e-15	2.0589556207266524e-16	1.185100964361191e-14	5.457837794843826e-16	6.305677403957774e-15	2.923893544069276e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.594795920488228e-15	2.127698343232672e-16
55478.78000000015	6.4740413518558406e-15	2.8147616242400177e-16	5.0034743749284645e-15	2.134035734345188e-16	2.953412889959237e-15	1.2516654649192823e-16	4.8069222628419424e-15	2.0509588965464697e-16	1.1897006152910503e-14	5.435306125466817e-16	6.33350026787085e-15	2.9150384886886147e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.615150115988721e-15	2.1212993172216347e-16
55478.830000000155	6.4966410037159155e-15	2.803759071254705e-16	5.020393677674107e-15	2.125900134486639e-16	2.963296990594639e-15	1.2469480304832835e-16	4.823531680032489e-15	2.0431107037524295e-16	1.1943047142030654e-14	5.413628786198033e-16	6.361349655490514e-15	2.906949750763807e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.6355234106509935e-15	2.1154612867209549e-16
55478.88000000016	6.519265812044574e-15	2.7930058013431966e-16	5.0373292495383155e-15	2.1179233556197754e-16	2.9731901529330354e-15	1.2423187585896917e-16	4.8401545203058796e-15	2.0354106863204277e-16	1.1989131371577744e-14	5.392796515096829e-16	6.389224371208692e-15	2.899610789397749e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.65591492934623e-15	2.1101720552091608e-16
55478.93000000016	6.541915421039892e-15	2.782500743783314e-16	5.05428086886749e-15	2.110104965519711e-16	2.983092254843718e-15	1.2377774455106234e-16	4.856790595965637e-15	2.0278584711718113e-16	1.2035257602231464e-14	5.372799836845465e-16	6.417123219490515e-15	2.893004926773655e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.67632379699753e-15	2.1054193288617235e-16
55478.98000000016	6.564589474934475e-15	2.7722427925618775e-16	5.0712483140242075e-15	2.1024445134055635e-16	2.9930031742042036e-15	1.2333238778309263e-16	4.87343971932545e-15	2.020453668104023e-16	1.2081424594743354e-14	5.353629072402652e-16	6.4450450048693096e-15	2.887115384155447e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.696749138576577e-15	2.101190743229211e-16
55479.030000000166	6.5872876179982996e-15	2.762230806632826e-16	5.0882313633877284e-15	2.094941529905495e-16	3.002922788900128e-15	1.228957832407397e-16	4.890101702707558e-15	2.0131958697209962e-16	1.2127631109934244e-14	5.335274349006952e-16	6.472988531942578e-15	2.8819253173549196e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.717190079100347e-15	2.097473889495198e-16
55479.08000000017	6.610009494535746e-15	2.752463610205181e-16	5.1052297953529486e-15	2.0875955270370318e-16	3.0128509768251936e-15	1.224679076338585e-16	4.906776358444007e-15	2.0060846513883622e-16	1.2173875908691827e-14	5.317725610555622e-16	6.500952605366838e-15	2.877417851483665e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.737645743627729e-15	2.094256340166148e-16
55479.13000000017	6.6327547488854865e-15	2.7429399930722273e-16	5.122243388330727e-15	2.0804059982059404e-16	3.0227876158806883e-15	1.2204873669367915e-16	4.9234634988761106e-15	1.99911957118734e-16	1.2220157751967609e-14	5.300972628297049e-16	6.5289360298532394e-15	2.873576114733903e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.758115257256131e-15	2.0915256740389198e-16
55479.180000000175	6.655523025420445e-15	2.7336587109660974e-16	5.139271920747441e-15	2.0733724182133215e-16	3.032732583975949e-15	1.2163824517093998e-16	4.940162936352383e-15	1.992300169892233e-16	1.2266475400775253e-14	5.285005011770483e-16	6.556937610162889e-15	2.870383271056505e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.7785977451183185e-15	2.0892695003058064e-16
55479.23000000018	6.6783139685467055e-15	2.7246184859537267e-16	5.156315171044517e-15	2.0664942432806023e-16	3.0426857590277e-15	1.2123640683477414e-16	4.956874483232227e-15	1.9856259709552236e-16	1.2312827616187505e-14	5.269812220041067e-16	6.5849561511023135e-15	2.867822551521332e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.7990923323787714e-15	2.0874754816787569e-16
55479.28000000018	6.7011272227029915e-15	2.7158180068653173e-16	5.173372917678667e-15	2.0597709110869463e-16	3.0526470189602263e-15	1.2084319447183226e-16	4.973597951881611e-15	1.979096480509992e-16	1.2359213159333907e-14	5.255383573046768e-16	6.612990457518515e-15	2.8658772842491974e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.819598144230586e-15	2.0861313564151754e-16
55479.330000000184	6.723962432360208e-15	2.7072559297520174e-16	5.190444939120907e-15	2.0532018408262822e-16	3.062616241705099e-15	1.2045857988682203e-16	4.990333154676675e-15	1.9727111873797928e-16	1.2405630791398117e-14	5.241708263179879e-16	6.641039334294855e-15	2.8645309227344756e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.840114305892078e-15	2.0852249591473846e-16
55479.38000000019	6.746819242021199e-15	2.698930878382085e-16	5.207531013857276e-15	2.0467864332722908e-16	3.0725933052013002e-15	1.2008253390349107e-16	5.0070799040007555e-15	1.9664695631123506e-16	1.2452079273615467e-14	5.228775366925209e-16	6.669101586346113e-15	2.863767072489741e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.860639942603382e-15	2.0847442404322823e-16
55479.43000000019	6.7696972962186694e-15	2.690841444765044e-16	5.224630920387608e-15	2.0405240708632538e-16	3.0825780873947084e-15	1.1971502636594291e-16	5.0238380122453785e-15	1.9603710620135948e-16	1.2498557367270295e-14	5.216573856581349e-16	6.6971760431967054e-15	2.863569039546863e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.8811742148817975e-15	2.0846766013663223e-16
55479.48000000019	6.792596239516472e-15	2.6829861897061027e-16	5.241744437226035e-15	2.0344141178007523e-16	3.092570466238236e-15	1.1935602614130787e-16	5.040607291809808e-15	1.9544151212025444e-16	1.254506383369399e-14	5.205092612029701e-16	6.725261716077063e-15	2.8639168121151744e-16	nan	nan	nan	nan	nan	nan	nan	nan	4.901716424294288e-15	2.0850068627635285e-16
