MJD	GMOS_r	GMOS_r_err	lascumbres_B	lascumbres_B_err	lascumbres_I	lascumbres_I_err	lascumbres_R	lascumbres_R_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56228.610000000146	nan	nan	4.576838870792502e-15	1.1881588042438066e-15	6.410582719334724e-16	7.226202072855876e-17	nan	nan	2.412992416778889e-15	1.230463218448608e-15	2.3053118700146902e-15	1.4433222239851525e-15	7.861907831645645e-16	3.6275352044573263e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.9671062354137205e-15	3.6317677294221857e-16
56228.66000000015	nan	nan	4.9539048122741584e-15	1.1407479849706928e-15	6.792337581114305e-16	6.644354022587118e-17	nan	nan	2.628656723458745e-15	1.187758150264084e-15	2.5952806135203337e-15	1.3915010614312913e-15	8.380127718927453e-16	3.495401092548081e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.167919307005596e-15	3.3580307051295335e-16
56228.71000000015	nan	nan	5.332321239510212e-15	1.0945913652799179e-15	7.176102203017219e-16	6.0750521998273e-17	nan	nan	2.8452056995016055e-15	1.1455107318127318e-15	2.886376020406383e-15	1.3401540188298506e-15	8.901871623767141e-16	3.365171684892524e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.3695141992758996e-15	3.0918152772286716e-16
56228.760000000155	nan	nan	5.712091806863665e-15	1.0497230563079563e-15	7.561857872714126e-16	5.519313768806179e-17	nan	nan	3.0626420878168287e-15	1.1037315506535797e-15	3.178601390988183e-15	1.2892901882680755e-15	9.4271582528244e-16	3.2368995698480386e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5718932098248317e-15	2.834354731818895e-16
56228.81000000016	nan	nan	6.093220177494474e-15	1.0061767568631996e-15	7.949585917971975e-16	4.978786486831703e-17	1.0945218402434911e-15	7.342172017262912e-16	3.2809686389019167e-15	1.0624315885889224e-15	3.4719600341766877e-15	1.2389188874947367e-15	9.95600639680465e-16	3.1106374039622904e-16	nan	nan	nan	nan	nan	nan	nan	nan	1.221726196034312e-16	1.9769903448894027e-16	nan	nan	2.77505864227576e-15	2.5872789194359323e-16
56228.86000000016	nan	nan	6.47571002341184e-15	9.639851885603245e-16	8.339267706223826e-16	4.4560159079284494e-17	1.2132802531418553e-15	7.054555236160639e-16	3.5001881108410134e-15	1.0216222452725089e-15	3.766455267514964e-15	1.189049663811504e-15	1.0488434930852004e-15	2.9864374915517264e-16	2.0623198001220778e-15	9.059116313522021e-16	3.2439245259999333e-15	3.539495620781832e-16	5.20421389192028e-16	3.761219437503241e-16	nan	nan	1.5381918040774507e-16	1.704343233614677e-16	7.957178134377047e-17	3.8336993892356215e-17	2.97901280626905e-15	2.352763450850333e-16
56228.91000000016	nan	nan	6.859565025436856e-15	9.231793777501914e-16	8.730884644151128e-16	3.954862598178814e-17	1.3327415361671116e-15	6.771341115026127e-16	3.720309013141634e-15	9.813126310129511e-16	4.062090417189335e-15	1.1396922966783337e-15	1.1024462814916217e-15	2.8643512450761853e-16	2.2043092036531627e-15	8.659314790896241e-16	3.6656368209348135e-15	3.0982882742926497e-16	7.079585435540887e-16	3.1835452761201747e-16	nan	nan	1.8582679713014536e-16	1.4354715641738078e-16	8.881828913017892e-17	3.279273323678963e-17	3.1837580174832164e-15	2.1337257962381906e-16
56228.96000000017	nan	nan	7.244788938861426e-15	8.837876743372551e-16	9.124418177265297e-16	3.4811572212787114e-17	1.452908838226472e-15	6.492661507517477e-16	3.94137093001604e-15	9.414975724235557e-16	4.35886881805446e-15	1.0908567985266866e-15	1.1564109094136906e-15	2.744428496739432e-16	2.3476230746856235e-15	8.269558919545925e-16	4.088882209507598e-15	2.6849708574192255e-16	8.970542854785046e-16	2.61938393685797e-16	nan	nan	2.1819858230075462e-16	1.1717081859916917e-16	9.814894458730162e-17	2.7456001006013663e-17	3.389296597665772e-15	1.934057855488608e-16
56229.01000000017	nan	nan	7.63141481594123e-15	8.457982561028262e-16	9.51984978947615e-16	3.043703091585375e-17	1.5737853207966246e-15	6.218651775130202e-16	4.163423909174099e-15	9.02167571290559e-16	4.656793819117049e-15	1.0425534086746385e-15	1.210739368429719e-15	2.626715997313872e-16	2.4922708997677384e-15	7.890212162292025e-16	4.513664891478101e-15	2.3108538222416958e-16	1.0877183674912201e-15	2.0748866131375257e-16	nan	nan	2.509376723450308e-16	9.15757912000847e-17	1.075643297790242e-16	2.2433729006390218e-17	3.5956308746235306e-15	1.758836234151708e-16
56229.06000000017	nan	nan	8.019551011223825e-15	8.091012487136233e-16	9.917161002685949e-16	2.6556630488508525e-17	1.6953880209450767e-15	5.949391126472075e-16	4.386518014657448e-15	8.633139956359823e-16	4.95587602552865e-15	9.947866908116863e-16	1.2654431580976268e-15	2.511181126267625e-16	2.6382622262133947e-15	7.521625238045752e-16	4.939989076830926e-15	1.9937635935789724e-16	1.2799605964111971e-15	1.5639655864450611e-16	nan	nan	2.8404722775613875e-16	6.740958904868175e-17	1.170650303603815e-16	1.7937502718822815e-17	3.8027631822534574e-15	1.6143471418457648e-16
