#wls	flux	flux_err
5832.4000	6.8613e-01	2.5824e-02
5841.6000	7.1952e-01	2.0530e-02
5850.8000	7.6394e-01	1.3575e-02
5860.0000	8.1219e-01	1.9499e-02
5869.2000	8.5408e-01	1.6948e-02
5878.4000	9.0295e-01	1.8956e-02
5887.6000	9.4491e-01	1.8354e-02
5896.8000	9.9583e-01	1.8419e-02
5906.0000	1.0314e+00	9.9546e-03
5915.2000	1.0632e+00	2.0690e-02
5924.4000	1.0851e+00	2.5353e-02
5933.6000	1.1033e+00	2.5395e-02
5942.8000	1.1171e+00	2.6027e-02
5952.0000	1.1224e+00	2.8325e-02
5961.2000	1.1283e+00	2.2740e-02
5970.4000	1.1284e+00	2.3923e-02
5979.6000	1.1259e+00	2.4007e-02
5988.8000	1.1187e+00	2.2253e-02
5998.0000	1.1055e+00	2.1695e-02
6007.2000	1.0908e+00	2.4525e-02
6016.4000	1.0721e+00	1.2668e-02
6025.6000	1.0425e+00	2.0854e-02
6034.8000	1.0129e+00	2.7992e-02
6044.0000	9.8727e-01	2.8916e-02
6053.2000	9.5373e-01	2.7728e-02
6062.4000	9.2377e-01	3.0269e-02
6071.6000	8.9524e-01	1.9326e-02
6080.8000	8.6744e-01	1.7555e-02
6090.0000	8.4274e-01	2.1791e-02
6099.2000	8.3220e-01	3.0623e-02
6108.4000	8.2461e-01	3.4459e-02
6117.6000	8.1888e-01	4.7160e-02
6126.8000	8.2122e-01	6.1445e-02
6136.0000	8.2344e-01	6.4816e-02
6145.2000	8.2082e-01	5.8082e-02
6154.4000	8.1490e-01	6.3267e-02
6163.6000	8.0714e-01	4.7811e-02
6172.8000	7.9707e-01	4.0369e-02
6182.0000	8.0014e-01	3.2274e-02
6191.2000	7.9857e-01	3.2196e-02
6200.4000	7.9706e-01	2.3830e-02
6209.6000	7.9978e-01	2.1681e-02
6218.8000	8.2663e-01	2.9876e-02
6228.0000	8.5503e-01	3.6120e-02
6237.2000	9.1084e-01	3.6479e-02
6246.4000	9.9620e-01	4.2191e-02
6255.6000	1.0824e+00	6.4157e-02
6264.8000	1.2037e+00	7.2969e-02
6274.0000	1.3169e+00	8.0221e-02
6283.2000	1.4219e+00	8.7909e-02
6292.4000	1.5243e+00	8.7398e-02
6301.6000	1.6150e+00	5.7436e-02
6310.8000	1.6897e+00	6.2407e-02
6320.0000	1.7429e+00	6.7119e-02
6329.2000	1.7805e+00	5.6255e-02
6338.4000	1.7979e+00	7.0033e-02
6347.6000	1.7868e+00	7.7271e-02
6356.8000	1.7651e+00	7.8051e-02
6366.0000	1.7183e+00	7.6010e-02
6375.2000	1.6867e+00	8.0241e-02
6384.4000	1.6052e+00	4.5367e-02
6393.6000	1.5144e+00	2.6320e-02
6402.8000	1.4325e+00	3.5125e-02
6412.0000	1.3662e+00	4.7948e-02
6421.2000	1.3206e+00	4.1928e-02
6430.4000	1.2688e+00	4.3521e-02
6439.6000	1.2196e+00	2.3103e-02
6448.8000	1.1793e+00	2.2225e-02
6458.0000	1.1506e+00	2.3958e-01
6467.2000	1.1420e+00	2.3517e-01
6476.4000	1.1233e+00	2.3392e-01
6485.6000	1.1097e+00	2.5376e-01
6494.8000	1.0946e+00	2.6254e-01
6504.0000	1.0758e+00	7.6376e-02
6513.2000	1.1272e+00	1.5120e-01
6522.4000	1.0841e+00	1.9982e-01
