#wls	flux	flux_err
7304.4000	1.1626e+00	3.1577e-02
7313.6000	1.1698e+00	3.3794e-02
7322.8000	1.1795e+00	3.7795e-02
7332.0000	1.1924e+00	6.0111e-02
7341.2000	1.2018e+00	5.5336e-02
7350.4000	1.2178e+00	4.6376e-02
7359.6000	1.2136e+00	8.7881e-02
7368.8000	1.1981e+00	9.0670e-02
7378.0000	1.1870e+00	7.8899e-02
7387.2000	1.1908e+00	6.0384e-02
7396.4000	1.1696e+00	6.2879e-02
7405.6000	1.1521e+00	3.7544e-02
7414.8000	1.1467e+00	3.3682e-02
7424.0000	1.1204e+00	9.0936e-03
7433.2000	1.0952e+00	2.4312e-02
7442.4000	1.0750e+00	6.1224e-02
7451.6000	1.0549e+00	6.3453e-02
7460.8000	1.0363e+00	6.9597e-02
7470.0000	1.0205e+00	8.8821e-02
7479.2000	1.0132e+00	9.3940e-02
7488.4000	9.8093e-01	8.2559e-02
7497.6000	9.4921e-01	8.8981e-02
7506.8000	9.3045e-01	8.2738e-02
7516.0000	9.0400e-01	5.7543e-02
7525.2000	8.6400e-01	5.6851e-02
7534.4000	8.3253e-01	5.8991e-02
7543.6000	7.9872e-01	4.9464e-02
7552.8000	7.7618e-01	4.6295e-02
7562.0000	7.4319e-01	4.9343e-02
7571.2000	7.0527e-01	6.3848e-02
7580.4000	6.8690e-01	1.0684e-01
7589.6000	6.9491e-01	1.0752e-01
7598.8000	6.8640e-01	1.0994e-01
7608.0000	6.8418e-01	8.8802e-02
7617.2000	6.8498e-01	9.4729e-02
7626.4000	6.7913e-01	4.3600e-02
7635.6000	6.8537e-01	6.4349e-02
7644.8000	6.9339e-01	6.5494e-02
7654.0000	6.9977e-01	6.7657e-02
7663.2000	6.9918e-01	9.2239e-02
7672.4000	7.0167e-01	9.3042e-02
7681.6000	7.0687e-01	7.5274e-02
7690.8000	7.0092e-01	7.6587e-02
7700.0000	7.0521e-01	7.3996e-02
7709.2000	7.2744e-01	4.4935e-02
7718.4000	7.3373e-01	4.7488e-02
7727.6000	7.5712e-01	3.9591e-02
7736.8000	7.8272e-01	3.9250e-02
7746.0000	7.9861e-01	4.1259e-02
7755.2000	8.2458e-01	3.6618e-02
7764.4000	8.4062e-01	3.3063e-02
7773.6000	8.5127e-01	2.4283e-02
7782.8000	8.5117e-01	3.4902e-02
7792.0000	8.5221e-01	3.1563e-02
7801.2000	8.4457e-01	5.7354e-02
7810.4000	8.3891e-01	6.6754e-02
7819.6000	8.3655e-01	6.6347e-02
7828.8000	8.4833e-01	8.4473e-02
7838.0000	8.4692e-01	8.0931e-02
7847.2000	8.3530e-01	8.3294e-02
7856.4000	8.1236e-01	1.0084e-01
7865.6000	7.8601e-01	1.1025e-01
7874.8000	7.7448e-01	8.6372e-02
7884.0000	7.7450e-01	1.0288e-01
7893.2000	7.7697e-01	1.2457e-01
7902.4000	7.8357e-01	1.0059e-01
7911.6000	7.8464e-01	9.9203e-02
7920.8000	7.7658e-01	1.1364e-01
7930.0000	7.7562e-01	1.2392e-01
7939.2000	7.5169e-01	9.3955e-02
7948.4000	7.1885e-01	7.0402e-02
7957.6000	6.9148e-01	9.8400e-02
7966.8000	6.6864e-01	9.5640e-02
7976.0000	6.4042e-01	6.3297e-02
7985.2000	6.0133e-01	6.3297e-02
7994.4000	5.5630e-01	6.3297e-02
