#MJD,band,Flux,Flux_err,FilterSet,Instr
57883.18,LT_IOO_z,2.0290309107654405e-16,5.606419594023151e-18,GeneralFilters,LT
57889.03,LT_IOO_z,1.7510101487466525e-16,3.2254798929482576e-18,GeneralFilters,LT
57806.62,atlas_c,7.981335788300992e-16,2.2053245769986105e-17,GeneralFilters,ATLAS
57817.62,atlas_c,1.6675373981544157e-15,3.0717174040003474e-17,GeneralFilters,ATLAS
57834.57,atlas_c,7.908162461964517e-16,2.185106039747351e-17,GeneralFilters,ATLAS
57838.57,atlas_c,6.638585953713956e-16,2.445745448893022e-17,GeneralFilters,ATLAS
57870.59,atlas_c,3.14829618201007e-16,1.7398127656863495e-17,GeneralFilters,ATLAS
57894.47,atlas_c,2.4778532547641843e-16,1.5975310307731006e-17,GeneralFilters,ATLAS
57898.47,atlas_c,2.1780888043404112e-16,1.6048751398692657e-17,GeneralFilters,ATLAS
57984.3,atlas_c,1.0329411586435072e-16,2.854121896599046e-17,GeneralFilters,ATLAS
57988.29,atlas_c,8.591630334404857e-17,1.5826367946012863e-17,GeneralFilters,ATLAS
57818.61,atlas_o,1.3101252619932063e-15,2.4133399185763804e-17,GeneralFilters,ATLAS
57822.64,atlas_o,1.2396892089420667e-15,3.4253878709466946e-17,GeneralFilters,ATLAS
57830.56,atlas_o,9.938316442272805e-16,1.8307055431547947e-17,GeneralFilters,ATLAS
57850.52,atlas_o,4.4188862362368455e-16,8.139889260156404e-18,GeneralFilters,ATLAS
57854.49,atlas_o,4.22000359407835e-16,3.886766947242434e-17,GeneralFilters,ATLAS
57858.51,atlas_o,3.3830843087897836e-16,1.8695614794627368e-17,GeneralFilters,ATLAS
57882.48,atlas_o,2.3405225020506495e-16,1.5089906224509033e-17,GeneralFilters,ATLAS
57887.56,atlas_o,2.21468936845317e-16,2.0398042901650675e-17,GeneralFilters,ATLAS
57891.54,atlas_o,2.2978031519802125e-16,1.4814484396276232e-17,GeneralFilters,ATLAS
57892.55,atlas_o,2.255863517921409e-16,1.454408958294585e-17,GeneralFilters,ATLAS
57895.53,atlas_o,2.21468936845317e-16,1.6318434321320537e-17,GeneralFilters,ATLAS
57896.52,atlas_o,2.1150119272132754e-16,1.1687987844254125e-17,GeneralFilters,ATLAS
57899.52,atlas_o,2.0385098807590238e-16,7.510147941370877e-18,GeneralFilters,ATLAS
57900.52,atlas_o,2.019820709835585e-16,5.5809708683856724e-18,GeneralFilters,ATLAS
57903.51,atlas_o,2.095621381312124e-16,1.351097034887289e-17,GeneralFilters,ATLAS
57904.5,atlas_o,1.8084762963141488e-16,1.1659677570592918e-17,GeneralFilters,ATLAS
57906.47,atlas_o,1.7430619429235635e-16,1.1237935648634882e-17,GeneralFilters,ATLAS
57907.49,atlas_o,1.8084762963141488e-16,6.6626728974816675e-18,GeneralFilters,ATLAS
57910.46,atlas_o,1.6800136905641196e-16,1.547349791967542e-17,GeneralFilters,ATLAS
57912.5,atlas_o,1.6800136905641196e-16,3.094699583935084e-17,GeneralFilters,ATLAS
57914.44,atlas_o,1.6800136905641196e-16,1.547349791967542e-17,GeneralFilters,ATLAS
57915.49,atlas_o,1.8420983809256046e-16,1.6966353086991028e-17,GeneralFilters,ATLAS
57916.46,atlas_o,1.8420983809256046e-16,3.3932706173982056e-18,GeneralFilters,ATLAS
57925.43,atlas_o,1.5321906960608023e-16,1.4111997825495073e-17,GeneralFilters,ATLAS
57927.43,atlas_o,1.1622855027000826e-16,1.0705045089281204e-17,GeneralFilters,ATLAS
57929.43,atlas_o,1.2627367520920106e-16,1.046721175827401e-17,GeneralFilters,ATLAS
57933.42,atlas_o,1.2862127810603485e-16,1.1846457504351893e-18,GeneralFilters,ATLAS
57937.41,atlas_o,1.463230755109091e-16,5.3907413189193834e-18,GeneralFilters,ATLAS
57939.42,atlas_o,1.3973745227677307e-16,2.574058996363712e-17,GeneralFilters,ATLAS
57941.4,atlas_o,1.3973745227677307e-16,2.574058996363712e-17,GeneralFilters,ATLAS
57945.42,atlas_o,1.3845633161375489e-16,1.1477069467361005e-17,GeneralFilters,ATLAS
57949.39,atlas_o,1.0216751278594763e-16,5.645985406300827e-18,GeneralFilters,ATLAS
