MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g'	sdss_g'_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_z'	sdss_z'_err
56461.6400000002	1.4655093525504326e-15	7.929995533620783e-17	3.783171693556376e-16	1.3747914419988478e-17	8.709050997840063e-16	4.3754410043793166e-17	1.0399686635999465e-15	8.419455622621627e-17	1.1819008899930519e-15	4.3396567311264605e-17	1.0613209026331212e-15	4.099547415375586e-17	4.730541025091821e-16	3.659624571478209e-17	9.254927741048356e-16	4.107838850574036e-17	3.5653033388278096e-16	1.827719498450428e-17
56461.690000000206	1.489101102781216e-15	8.201241545899427e-17	3.852157172519659e-16	1.3425939904678916e-17	8.851211800082541e-16	4.337455295438827e-17	1.0560258279749283e-15	8.165825768246984e-17	1.2014457497961203e-15	4.331823604471278e-17	1.0872332469723303e-15	3.991479212303615e-17	4.813892094025677e-16	3.532863610674617e-17	9.413674431626375e-16	4.0163074793834127e-17	3.608385214221048e-16	1.757575994328116e-17
56461.74000000021	1.512702338984196e-15	8.463770224354418e-17	3.921202067722433e-16	1.3113523457813768e-17	8.993364324044019e-16	4.299791814955345e-17	1.0722273793494934e-15	7.916321956907153e-17	1.2210098976545364e-15	4.3245972189989625e-17	1.1132073056597538e-15	3.8848231080218154e-17	4.897651709684334e-16	3.408347519069331e-17	9.572538233423932e-16	3.926149030674365e-17	3.651656733925517e-16	1.6912533722528868e-17
56461.79000000021	1.5363239571457535e-15	8.717103974274402e-17	3.990306417878476e-16	1.2810952449357333e-17	9.135506503733378e-16	4.262430457359717e-17	1.088606146315938e-15	7.680454286988245e-17	1.2405940516980097e-15	4.3178533076080257e-17	1.1392438544209292e-15	3.7796343185171646e-17	4.981821313881515e-16	3.2861665633152244e-17	9.731519073938524e-16	3.8374032363080016e-17	3.6951185684626685e-16	1.6290215125275346e-17
56461.840000000215	1.5599768535164803e-15	8.960858010669965e-17	4.0594702616502717e-16	1.2518518101216783e-17	9.277636273175446e-16	4.2253516850986425e-17	1.1051949752095035e-15	7.469825364982654e-17	1.2601989300751986e-15	4.311473069324115e-17	1.1653437042642778e-15	3.675962751084368e-17	5.06639419444457e-16	3.1663844068483015e-17	9.890615567285316e-16	3.750108998712244e-17	3.7387713904991175e-16	1.5711589258673244e-17
56461.89000000022	1.583671924955641e-15	9.194725853837019e-17	4.1286936378160187e-16	1.2236513582647741e-17	9.419751566208304e-16	4.188536552250961e-17	1.1220267340868008e-15	7.298031739058172e-17	1.2798252509492892e-15	4.305343286641278e-17	1.191507669918233e-15	3.573864680118226e-17	5.151351071929327e-16	3.0490213530232654e-17	1.0049825601034867e-15	3.6643057947000353e-17	3.7826158748565394e-16	1.5179467157649338e-17
56461.94000000022	1.607420069275928e-15	9.418467768363758e-17	4.197976585108584e-16	1.1965231734130503e-17	9.561850316893213e-16	4.151966725652546e-17	1.139134316706129e-15	7.180199774801761e-17	1.2994737325118896e-15	4.299356400021872e-17	1.2177365661913513e-15	3.4734048795844926e-17	5.236671599164176e-16	2.934100958100066e-17	1.0209147054896635e-15	3.580035376297136e-17	3.826652698515602e-16	1.4696604211810115e-17
56461.99000000022	1.631232185587509e-15	9.631901463726971e-17	4.2673191423264476e-16	1.1704962372597285e-17	9.703930458986272e-16	4.11562450589936e-17	1.1565506465099304e-15	7.132019331699999e-17	1.3191450929685043e-15	4.293410542825769e-17	1.2440312080066518e-15	3.374657449798301e-17	5.3223354338204e-16	2.8216556761623706e-17	1.0368577809177764e-15	3.497341888517162e-17	3.870882540623343e-16	1.4265596950880595e-17
56462.04000000023	1.6551191746429824e-15	9.834894536946816e-17	4.336721348113005e-16	1.1455989159924203e-17	9.845989926455374e-16	4.0794928469285517e-17	1.1743086806099965e-15	7.168263246955476e-17	1.3388400505524283e-15	4.287409543197553e-17	1.2703924102585378e-15	3.27770669459308e-17	5.408322238121493e-16	2.7117284417044773e-17	1.0528115743425625e-15	3.416271961109618e-17	3.9153060460925477e-16	1.3888733960048205e-17
56462.09000000023	1.679091939181576e-15	1.0027358259436823e-16	4.4061828418415e-16	1.1218517100095924e-17	9.988026653358363e-16	4.0435553756074096e-17	1.1924402212665638e-15	7.30044397105761e-17	1.3585593235190636e-15	4.281262895685152e-17	1.2968209878471351e-15	3.18264805177151e-17	5.494611678553842e-16	2.60437444686811e-17	1.0687758738058795e-15	3.336874790031487e-17	3.959922212908307e-16	1.3566683678442706e-17
56462.14000000023	1.7031613842739772e-15	1.0209242401046241e-16	4.475701985916187e-16	1.0992517784427749e-17	1.0130038573428565e-15	4.0077964089346754e-17	1.2109592686163092e-15	7.527329952079078e-17	1.3783036301421293e-15	4.274885708097327e-17	1.3233177557755863e-15	3.089589058428072e-17	5.581183425578108e-16	2.4996631302736734e-17	1.08475046727766e-15	3.2592022020893e-17	4.004727752963838e-16	1.3297944090369902e-17
56462.190000000235	1.7273384176668966e-15	1.0380530852630618e-16	4.545276887978594e-16	1.0777904854392881e-17	1.0272023620603128e-15	3.972200971437693e-17	1.2298661299085108e-15	7.837383441036395e-17	1.398073688725662e-15	4.2681986255432735e-17	1.3498835290012484e-15	2.9986503423023554e-17	5.668017153339263e-16	2.397680389949617e-17	1.1007351427724095e-15	3.183308704706684e-17	4.0497192117266106e-16	1.3080393618136544e-17
56462.24000000024	1.7516339501277975e-15	1.05412378594856e-16	4.614905655733478e-16	1.0574577422726227e-17	1.0413979728839693e-15	3.9367548114637964e-17	1.2491608021804469e-15	8.217039240110312e-17	1.4178702175983316e-15	4.261127738671519e-17	1.3765191226417253e-15	2.909966606853908e-17	5.755092539380206e-16	2.2985310240794693e-17	1.1167296883086865e-15	3.109251504388042e-17	4.094893136746017e-16	1.2911450274925904e-17
