MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	CSP_Y_new	CSP_Y_new_err	CSP_g_old	CSP_g_old_err	CSP_i_old	CSP_i_old_err	CSP_r_old	CSP_r_old_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56280.170000000115	nan	nan	nan	nan	nan	nan	6.144006738565293e-16	1.5553215843877935e-16	nan	nan	3.4454419635843914e-16	1.4940598540950145e-16	7.746098572565136e-17	3.814923755540388e-17	2.8779220490341807e-16	5.91255792253592e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.22000000012	nan	nan	6.667476610044225e-17	6.531225920073576e-18	1.3544286995970162e-16	1.3058482942579946e-17	6.438515252735312e-16	1.6215373064507178e-16	nan	nan	4.0090942208378707e-16	1.4865005675373988e-16	9.319171669786087e-17	3.8458395691485985e-17	3.2069778613853604e-16	5.798918875771722e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.27000000012	nan	nan	8.052377277700605e-17	9.822036998056426e-18	1.618633650347203e-16	1.6229695242059923e-17	6.735234647014091e-16	1.6830498428472084e-16	nan	nan	4.576189720594156e-16	1.4938407436078564e-16	1.0905435677883001e-16	3.9345740880372817e-17	3.5381821455860464e-16	5.686029109005903e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.32000000012	nan	nan	9.448548791620619e-17	1.3933708698836075e-17	1.8846124324753138e-16	2.2042025897511502e-17	7.034193500176497e-16	1.7399053675062242e-16	nan	nan	5.146837007948759e-16	1.5144433786114457e-16	1.250513242871836e-16	4.0717647830664845e-17	3.8715457317861513e-16	5.57391801221448e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.370000000126	nan	nan	1.0855888897953467e-16	1.8154063448233844e-17	2.152351778014075e-16	2.8631260207401785e-17	7.335420441657224e-16	1.7921568438090225e-16	nan	nan	5.721144688494439e-16	1.5464457609600373e-16	1.4118504207807766e-16	4.247578569051686e-17	4.2070794967381505e-16	5.462616328106696e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.42000000013	nan	nan	1.2274295734628893e-16	2.2292026111032297e-17	2.4218384602185504e-16	3.532614819685083e-17	7.638944152160096e-16	1.839863418901375e-16	nan	nan	6.299221430139328e-16	1.5879180019665596e-16	1.5745793762105805e-16	4.452743855673636e-17	4.544794363987593e-16	5.352156235305696e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.47000000013	3.892048277743413e-16	3.887309678488022e-17	1.3703667827335179e-16	2.628218340908047e-17	2.6930592932142567e-16	4.1883419015159086e-17	7.94479336428435e-16	1.8830900306141062e-16	nan	nan	6.881175964929259e-16	1.6369926693463765e-16	1.7387244307785487e-16	4.679126701696963e-17	4.884701304078926e-16	5.242571436743552e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.520000000135	4.62579447332125e-16	4.422534260857758e-17	1.5143904085475355e-16	3.009744087795683e-17	2.9660011316534866e-16	4.820147639456507e-17	8.252996863147972e-16	1.9219071602561765e-16	nan	nan	7.467117090864775e-16	1.691952025249563e-16	1.9043099538045644e-16	4.919923127322953e-17	5.226811334749644e-16	5.13389725343799e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.57000000014	5.365177675696918e-16	5.80308986592382e-17	1.659490379816181e-16	3.3725250261890216e-17	3.240650870366542e-16	5.4232653082682153e-17	8.563583487006597e-16	1.95639068762919e-16	nan	nan	8.057153673724011e-16	1.751274159786076e-16	2.0713603630919245e-16	5.169612773197471e-17	5.571135521132323e-16	5.026170723770308e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56280.62000000014	6.110167885575991e-16	7.445378530924564e-17	1.805656663019013e-16	3.7159569164040425e-17	3.5169954440158605e-16	5.995293307317268e-17	8.876582127876105e-16	1.9866218189280307e-16	nan	nan	8.651394648879427e-16	1.8136472696199116e-16	2.23990012571003e-16	5.4238003155961746e-17	5.917684975951651e-16	4.919430708319163e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
