MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
56717.16000000232	3.8450754480523945e-15	1.2535251048510747e-15	3.962793285410981e-15	1.9218670776747823e-16	5.0964242867257785e-15	3.601987173241729e-16	1.9197275647817267e-15	1.0555058329840816e-15	5.302030086309185e-15	7.71453123379036e-16
56717.21000000232	3.840438050995491e-15	1.2546687833599944e-15	3.95591103384978e-15	1.9231683668192927e-16	5.086112104577835e-15	3.6053793336248595e-16	1.9166382591758796e-15	1.0563893979481603e-15	5.291044888521451e-15	7.721988103273737e-16
56717.26000000232	3.835857234740953e-15	1.2552086992249013e-15	3.949033466027676e-15	1.9235666545716905e-16	5.0758903255670715e-15	3.607095288158681e-16	1.9135308642258596e-15	1.0567613976050889e-15	5.2801224688724865e-15	7.72570007624253e-16
56717.310000002326	3.831331949041525e-15	1.25514508744765e-15	3.942160565124918e-15	1.923062118912889e-16	5.065757822500686e-15	3.6071366227483117e-16	1.910405707359547e-15	1.056621990432781e-15	5.269263220110441e-15	7.725668049461855e-16
56717.36000000233	3.826861143150981e-15	1.2544783661320222e-15	3.935292313922586e-15	1.9216552579240877e-16	5.055713469368951e-15	3.605505494203686e-16	1.907263112301078e-15	1.0559714848769231e-15	5.258467535081138e-15	7.7218940607711e-16
56717.41000000233	3.822443765759937e-15	1.2532091369851336e-15	3.92842869480338e-15	1.9193468895526724e-16	5.045756141326389e-15	3.6022046331804627e-16	1.9041033990980536e-15	1.0548103395778987e-15	5.2477358067519965e-15	7.714381291575253e-16
56717.460000002335	3.818078764931574e-15	1.2513381859968098e-15	3.921569689751446e-15	1.9161381517735664e-16	5.0358847146727955e-15	3.597237347846406e-16	1.900926884148311e-15	1.0531391637270431e-15	5.237068428235948e-15	7.703134070250437e-16
56717.51000000234	3.8137650880372965e-15	1.2488664842993369e-15	3.914715280353771e-15	1.912030503147716e-16	5.026098066833667e-15	3.5906075283026246e-16	1.897733880226568e-15	1.050958717552828e-15	5.226465792815599e-15	7.68815787648661e-16
56717.56000000234	3.8095016816918074e-15	1.2457951892127428e-15	3.907865447799774e-15	1.9070257237762413e-16	5.0163950763413445e-15	3.582319651770891e-16	1.894524696510638e-15	1.0482699129386445e-15	5.215928293966812e-15	7.669459346584191e-16
56717.61000000234	3.805287491688919e-15	1.2421256454805144e-15	3.9010201728823845e-15	1.9011259166575975e-16	5.006774622816029e-15	3.572378788601e-16	1.8912996386078067e-15	1.0450738141737565e-15	5.205456325382798e-15	7.647046279735109e-16
56717.660000002346	3.801121462936513e-15	1.2378593867025928e-15	3.894179435998123e-15	1.8943335094502597e-16	4.997235586946517e-15	3.560790609125568e-16	1.888059008580544e-15	1.0413716388408816e-15	5.195050280997902e-15	7.620927645318274e-16
56717.71000000235	3.7970025393916465e-15	1.2329981369733498e-15	3.887343217147674e-15	1.8866512566591324e-16	4.987776850470987e-15	3.547561391412689e-16	1.884803104972187e-15	1.0371647588426344e-15	5.184710555011294e-15	7.591113591247924e-16
56717.76000000235	3.7929296639957106e-15	1.227543812734119e-15	3.880511495936322e-15	1.8780822422534514e-16	4.978397296158197e-15	3.532698029982551e-16	1.881532222832445e-15	1.0324547015717412e-15	5.174437541911126e-15	7.557615453420894e-16
