MJD	lascumbres_B	lascumbres_B_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err	lascumbres_u'	lascumbres_u'_err
57274.100000000166	1.1030080565604078e-15	1.437554079756331e-16	6.651083823254787e-16	5.3032320661537113e-17	7.927031555941119e-16	4.2478240321997995e-17	3.0795761024666785e-16	4.188593287837081e-17	5.516940031002623e-16	6.705228676096394e-17	nan	nan
57274.15000000017	1.1229653542466615e-15	1.4227323511877973e-16	6.817518652602485e-16	5.3283432914340425e-17	8.112101879555531e-16	4.350186242700339e-17	3.1459026735353777e-16	4.145599878191612e-17	5.619683622477165e-16	6.650384209601327e-17	nan	nan
57274.20000000017	1.1430768559460188e-15	1.4085582906381362e-16	6.984576833743222e-16	5.3551451722130565e-17	8.298442316200342e-16	4.4661660394004127e-17	3.212518897341566e-16	4.104224735782339e-17	5.722852318333384e-16	6.597784595593964e-17	nan	nan
57274.250000000175	1.1633399553431635e-15	1.3949785191004758e-16	7.152258343150346e-16	5.383258986533071e-17	8.486025507235919e-16	4.593329784028769e-17	3.2794210866043503e-16	4.0644160252349e-17	5.826438186129873e-16	6.547353597490804e-17	nan	nan
57274.30000000018	1.1837520542754376e-15	1.3819397629418258e-16	7.320563172049462e-16	5.412323471146568e-17	8.67482414188898e-16	4.729452172164233e-17	3.346605557729481e-16	4.026120916168515e-17	5.930433299070749e-16	6.499013798408395e-17	nan	nan
57274.35000000018	1.204310562556358e-15	1.36938911851331e-16	7.489491326391304e-16	5.441995807365732e-17	8.864810956042546e-16	4.8725360751849655e-17	3.4140686307564865e-16	3.989285753405468e-17	6.034829735887004e-16	6.452686830063506e-17	nan	nan
57274.40000000018	1.2250128977995301e-15	1.3572743044506182e-16	7.659042826823784e-16	5.471952259274726e-17	9.05595873102675e-16	5.0208142206841146e-17	3.481806629306181e-16	3.953856231843321e-17	6.139619580719044e-16	6.40829360452944e-17	nan	nan
57274.450000000186	1.2458564852428253e-15	1.3455438994903062e-16	7.829217708665826e-16	5.5018885159242194e-17	9.248240292411824e-16	5.172738997135152e-17	3.5498158805291854e-16	3.919777574589668e-17	6.244794922998138e-16	6.365754547090559e-17	nan	nan
57274.50000000019	1.266838757572948e-15	1.3341475641368106e-16	8.000016021879921e-16	5.531519787248939e-17	9.44162850880163e-16	5.3269654266649315e-17	3.6180927150527193e-16	3.886994712896588e-17	6.350347857329381e-16	6.324989828450012e-17	nan	nan
57274.55000000019	1.28795715475026e-15	1.323036245020813e-16	8.171437831046606e-16	5.560580700190146e-17	9.636096290629026e-16	5.4823309651933804e-17	3.686633466929196e-16	3.8554524664988354e-17	6.456270483373302e-16	6.285919594628687e-17	nan	nan
