MJD	kait4_B	kait4_B_err	kait4_I	kait4_I_err	kait4_R	kait4_R_err	kait4_V	kait4_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56118.64000000322	1.1858206060890797e-14	3.8475510660778215e-16	1.1450600740845719e-14	3.099130253211241e-16	1.825216463682099e-14	6.094638452620851e-16	2.3468409743706042e-14	7.343390369641716e-16	1.508538635895095e-14	1.584505812066915e-15	5.562882854599061e-15	2.455372129783253e-15	4.123319553712031e-16	1.1959223015627143e-16	2.22403520996606e-15	7.009808049239067e-16	1.044641849618509e-15	2.462605077692899e-16	2.288415429446599e-14	9.10166198570581e-16
56118.690000003226	1.1825488738359081e-14	3.776315926434545e-16	1.1414738038349502e-14	3.109091505303478e-16	1.8198169450517878e-14	6.107567916870096e-16	2.340994818216512e-14	7.387223676800379e-16	1.5060049427400675e-14	1.7416721981163001e-15	5.555744900198635e-15	2.7181546013750735e-15	4.103877493560685e-16	1.2271527830052797e-16	2.2207048917735797e-15	7.705133406061944e-16	1.0410103177728982e-15	2.618933751560414e-16	2.2832947029389094e-14	9.57603042684107e-16
56118.74000000323	1.1792607549988992e-14	3.770528420850881e-16	1.1378956475047285e-14	3.1198121497170274e-16	1.8144314587919348e-14	6.123133678630259e-16	2.3351372710793853e-14	7.437401455393623e-16	1.503470276238619e-14	1.8990560343041837e-15	5.548505183606386e-15	2.979671593927892e-15	4.084908813786029e-16	1.2599482497779346e-16	2.217416555307317e-15	8.401999152454198e-16	1.03741461880974e-15	2.779704990786228e-16	2.278205315093592e-14	1.0068356931376871e-15
56118.79000000323	1.1759572772796542e-14	3.831608234868343e-16	1.1343260706474237e-14	3.1313144211221896e-16	1.809060251888182e-14	6.14137791951119e-16	2.3292683121005208e-14	7.494057395851197e-16	1.5009347217095655e-14	2.0563227261743813e-15	5.541165714608878e-15	3.2397393966363872e-15	4.06640931759893e-16	1.2941345516291418e-16	2.214169751849433e-15	9.098875615308547e-16	1.033854640371138e-15	2.9439187743724567e-16	2.273146988440617e-14	1.0575245406909114e-15
56118.840000003234	1.1726413851353788e-14	3.950404109825696e-16	1.130765210605974e-14	3.1434862057538664e-16	1.8037037528032653e-14	6.162019218255447e-16	2.323389515182099e-14	7.556599532032056e-16	1.498398363838487e-14	2.2132169844876935e-15	5.533728488454026e-15	3.4982020244572092e-15	4.0483748258492704e-16	1.3295475838225491e-16	2.210964033367767e-15	9.79459072908527e-16	1.0303302711041557e-15	3.110754322980568e-16	2.268119445884845e-14	1.1093802108970808e-15
56118.89000000324	1.1693161508411719e-14	4.1151885772118234e-16	1.1272131828429086e-14	3.1562047257363e-16	1.7983624022399826e-14	6.184747216806431e-16	2.3175025605973543e-14	7.624358174478918e-16	1.4958612866821508e-14	2.3695371035905588e-15	5.526195486005395e-15	3.754922393212647e-15	4.030801176861392e-16	1.3660337775424348e-16	2.207798952494949e-15	1.0488214732440689e-15	1.0268414006578552e-15	3.279533950337673e-16	2.2631224107009182e-14	1.1621561960436543e-15
56118.94000000324	1.165984646420189e-14	4.3139145864184143e-16	1.1236701028817226e-14	3.169346805983902e-16	1.7930366410272278e-14	6.209247556235002e-16	2.3116091284135058e-14	7.696644189610067e-16	1.4933235736728348e-14	2.5251187099492985e-15	5.5185686738958e-15	4.009776944501848e-15	4.0136842262691987e-16	1.4034501961175963e-16	2.204674062508314e-15	1.1178987142875861e-15	1.0233879196802944e-15	3.449693938962963e-16	2.258155606529115e-14	1.2156421155030852e-15
56118.99000000324	1.1626499436976751e-14	4.535447186358659e-16	1.120136086309493e-14	3.182790236343006e-16	1.7877269101271045e-14	6.235205613341426e-16	2.305710898514715e-14	7.772760394621763e-16	1.4907853076227347e-14	2.679824177477927e-15	5.5108500046796704e-15	4.262652232782405e-15	3.9970198468534513e-16	1.441664342118443e-16	2.201588917309073e-15	1.1866269097106828e-15	1.0199697198155082e-15	3.6207614501104476e-16	2.253218757370598e-14	1.2696578171953183e-15
56119.040000003246	1.1593151143544055e-14	4.770150455712733e-16	1.1166112487798452e-14	3.1964149880220467e-16	1.7824336506417518e-14	6.262309855436263e-16	2.2998095506239374e-14	7.852011523804805e-16	1.4882465707281274e-14	2.8335355431012488e-15	5.503041416985162e-15	4.5134426775656925e-15	3.98080392837768e-16	1.4805537632290285e-16	2.19854307140212e-15	1.2549511393182544e-15	1.0165866937007144e-15	3.792336363895315e-16	2.2483115875828412e-14	1.3240483522940513e-15
56119.09000000325	1.1559832299806008e-14	5.010009203465299e-16	1.1130957060158053e-14	3.21010428773108e-16	1.7771573038205143e-14	6.290254808011812e-16	2.2939067643256e-14	7.933712736281043e-16	1.485707444573874e-14	2.986149647206628e-15	5.49514483566458e-15	4.7620490336306356e-15	3.9650323774257546e-16	1.5200055273833175e-16	2.195536079875324e-15	1.322823253138879e-15	1.013238734963228e-15	3.9640770387870274e-16	2.2434338218750858e-14	1.378679764714522e-15
