MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err
53537.12500000023	6.141152405456208e-16	2.2269004285782996e-17	1.481450651757094e-16	8.379957047566816e-18	nan	nan	nan	nan
53537.175000000236	6.164857250199764e-16	2.2287024601784602e-17	1.4848713347663206e-16	8.343712150202161e-18	nan	nan	nan	nan
53537.22500000024	6.18856512908207e-16	2.2306895281308865e-17	1.4882950672898264e-16	8.308064695449615e-18	nan	nan	nan	nan
53537.27500000024	6.212275554910005e-16	2.2328548526739107e-17	1.4917218124474615e-16	8.273014690511273e-18	nan	nan	nan	nan
53537.325000000244	6.235988040489005e-16	2.2351917955095035e-17	1.4951515333616093e-16	8.238562086630659e-18	nan	nan	nan	nan
53537.37500000025	6.259702098621691e-16	2.2376938635962905e-17	1.4985841931570463e-16	8.2047067777339e-18	nan	nan	nan	nan
53537.42500000025	6.283417242106995e-16	2.2403547125057808e-17	1.5020197549609625e-16	8.171448599087333e-18	nan	nan	nan	nan
53537.47500000025	6.30713298373918e-16	2.243168149352947e-17	1.5054581819029625e-16	8.138787325958426e-18	nan	nan	nan	nan
53537.525000000256	6.330848836306465e-16	2.2461281352969958e-17	1.5088994371149645e-16	8.106722672311637e-18	nan	nan	nan	nan
53537.57500000026	6.354564312590393e-16	2.2492287876540496e-17	1.5123434837311731e-16	8.075254289496748e-18	nan	nan	nan	nan
53537.62500000026	6.378278925364359e-16	2.2524643816147524e-17	1.5157902848880704e-16	8.044381764972413e-18	nan	nan	nan	nan
53537.675000000265	6.401992187392915e-16	2.255829351599534e-17	1.5192398037243737e-16	8.014104621039934e-18	nan	nan	nan	nan
53537.72500000027	6.425703611430227e-16	2.25931829224842e-17	1.5226920033810054e-16	7.984422313606732e-18	nan	nan	nan	nan
53537.77500000027	6.449412710219652e-16	2.2629259590776758e-17	1.5261468470010656e-16	7.955334230964078e-18	nan	nan	nan	nan
53537.82500000027	6.473118996492037e-16	2.266647268820051e-17	1.529604297729727e-16	7.926839692633576e-18	nan	nan	nan	nan
53537.87500000028	6.496821982965046e-16	2.270477299438973e-17	1.5330643187143264e-16	7.898937948168643e-18	nan	nan	nan	nan
53537.92500000028	6.520521182341987e-16	2.274411289875015e-17	1.5365268731041917e-16	7.871628176069005e-18	nan	nan	nan	nan
53537.97500000028	6.544216107310829e-16	2.2784446395028883e-17	1.5399919240507285e-16	7.844909482690482e-18	nan	nan	nan	nan
53538.025000000285	6.567906270542898e-16	2.2825729073303482e-17	1.5434594347072998e-16	7.818780901177284e-18	nan	nan	nan	nan
53538.07500000029	6.591591184692074e-16	2.2867918109575546e-17	1.5469293680067852e-16	7.793241247246986e-18	nan	nan	nan	nan
53538.12500000029	6.61527036298704e-16	2.2910972196410415e-17	1.5504016845877483e-16	7.768287782898031e-18	nan	nan	nan	nan
53538.175000000294	6.638943364543751e-16	2.2954847203085887e-17	1.553876343735898e-16	7.743916823464276e-18	nan	nan	nan	nan
53538.2250000003	6.662609826273479e-16	2.2999493121311625e-17	1.5573533047213204e-16	7.720124600332817e-18	nan	nan	nan	nan
53538.2750000003	6.686269392603591e-16	2.3044860774291357e-17	1.5608325268158616e-16	7.696907273950179e-18	nan	nan	nan	nan
53538.3250000003	6.709921707939305e-16	2.3090902537053873e-17	1.5643139692932052e-16	7.674260935651346e-18	nan	nan	nan	nan
53538.375000000306	6.733566416662732e-16	2.3137572334835343e-17	1.5677975914286715e-16	7.652181609514736e-18	nan	nan	nan	nan
53538.42500000031	6.757203163132334e-16	2.3184825639495638e-17	1.5712833524993057e-16	7.630665254340593e-18	nan	nan	nan	nan
53538.47500000031	6.780831591681865e-16	2.323261946394634e-17	1.5747712117838306e-16	7.609707765673487e-18	nan	nan	nan	nan
53538.525000000314	6.804451346619845e-16	2.3280912354747028e-17	1.5782611285625523e-16	7.589304977872425e-18	nan	nan	nan	nan
53538.57500000032	6.828062072228618e-16	2.332966438302102e-17	1.5817530621173514e-16	7.569452666268026e-18	nan	nan	nan	nan
