MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	LT_IOO_u	LT_IOO_u_err	LT_IOO_z	LT_IOO_z_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err
57232.313750000125	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.8790896661653413e-16	2.1455574805317162e-17	nan	nan	nan	nan	nan	nan
57232.36375000013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.9167381043708477e-16	2.122954952773582e-17	nan	nan	nan	nan	nan	nan
57232.41375000013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.954559383828569e-16	2.1016627026465704e-17	nan	nan	nan	nan	nan	nan
57232.46375000013	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.992553353649036e-16	2.081682845795107e-17	nan	nan	nan	nan	nan	nan
57232.51375000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0307198656725437e-16	2.0630173798680195e-17	nan	nan	nan	nan	nan	nan
57232.56375000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0690587714627536e-16	2.045667956381961e-17	nan	nan	nan	nan	nan	nan
57232.61375000014	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.1075690289095124e-16	2.0296215158172896e-17	nan	nan	nan	nan	nan	nan
57232.663750000145	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.146247452623958e-16	2.0148304339671393e-17	nan	nan	nan	nan	nan	nan
57232.71375000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.185090545428804e-16	2.0012418880749864e-17	nan	nan	nan	nan	nan	nan
57232.76375000015	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.224094812725804e-16	1.9888032284807843e-17	nan	nan	nan	nan	nan	nan
57232.813750000154	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.2632567624333295e-16	1.977462351654721e-17	nan	nan	nan	nan	nan	nan
57232.86375000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.302572904924035e-16	1.9671680584230002e-17	nan	nan	nan	nan	nan	nan
57232.91375000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.3420397529624287e-16	1.9578703931070604e-17	nan	nan	nan	nan	nan	nan
57232.96375000016	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.3816538216426353e-16	1.9495209598423262e-17	nan	nan	nan	nan	nan	nan
57233.013750000166	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.4214116283261044e-16	1.9420732129946348e-17	nan	nan	nan	nan	nan	nan
57233.06375000017	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.4613096925793283e-16	1.9354827192073174e-17	nan	nan	nan	nan	nan	nan
57233.11375000017	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.501344536111521e-16	1.929707389250157e-17	nan	nan	nan	nan	nan	nan
57233.163750000174	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.5415126827125404e-16	1.924707678397606e-17	nan	nan	nan	nan	nan	nan
57233.21375000018	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.581810658190751e-16	1.920446754608571e-17	nan	nan	nan	nan	nan	nan
57233.26375000018	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.6222349903106134e-16	1.9168906342486236e-17	nan	nan	nan	nan	nan	nan
57233.31375000018	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.662782208730882e-16	1.9140082854737673e-17	nan	nan	nan	nan	nan	nan
57233.363750000186	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.7034488449422516e-16	1.9117716997549198e-17	nan	nan	nan	nan	nan	nan
57233.41375000019	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.744231432205242e-16	1.910155932253071e-17	nan	nan	nan	nan	nan	nan
57233.46375000019	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.7851265054884216e-16	1.9091391119792513e-17	nan	nan	nan	nan	nan	nan
57233.513750000195	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.826130601406148e-16	1.9087024228071488e-17	nan	nan	nan	nan	nan	nan
57233.5637500002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.8672402581564733e-16	1.9088300565050673e-17	nan	nan	nan	nan	nan	nan
57233.6137500002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.908452015459312e-16	1.9095091390279663e-17	nan	nan	nan	nan	nan	nan
57233.6637500002	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.949762414494351e-16	1.910729631332424e-17	nan	nan	nan	nan	nan	nan
57233.713750000206	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.9911679978391916e-16	1.9124842060013508e-17	nan	nan	nan	nan	nan	nan
57233.76375000021	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.032665309407137e-16	1.9147681009850494e-17	nan	nan	nan	nan	nan	nan
57233.81375000021	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.074250894385607e-16	1.9175789517552245e-17	nan	nan	nan	nan	nan	nan
57233.863750000215	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.1159212991740213e-16	1.9209166031885544e-17	nan	nan	nan	nan	nan	nan
57233.91375000022	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.1576730713217634e-16	1.9247829025338394e-17	nan	nan	nan	nan	nan	nan
