MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	atlas_c	atlas_c_err	atlas_o	atlas_o_err
58062.93750000018	nan	nan	nan	nan	nan	nan	1.1075838095967072e-16	7.984872434402669e-18	nan	nan	nan	nan	1.33481212576316e-16	9.28175552610261e-18
58062.987500000185	nan	nan	nan	nan	nan	nan	1.123219252481691e-16	7.939299057893705e-18	nan	nan	nan	nan	1.3758861778975614e-16	9.529778019044657e-18
58063.03750000019	nan	nan	nan	nan	nan	nan	1.1389044640829306e-16	7.897553838335582e-18	nan	nan	nan	nan	1.4170927945097277e-16	9.791096788460386e-18
58063.08750000019	nan	nan	nan	nan	nan	nan	1.1546379910569397e-16	7.859446786851867e-18	nan	nan	nan	nan	1.4584210399131653e-16	1.0062036858179552e-17
58063.13750000019	nan	nan	nan	nan	nan	nan	1.17041838083585e-16	7.824803685059118e-18	nan	nan	nan	nan	1.4998599808123915e-16	1.0339408597623708e-17
58063.1875000002	nan	nan	nan	nan	nan	nan	1.1862441816000672e-16	7.793466776671892e-18	nan	nan	nan	nan	1.5413986860698534e-16	1.0620470545034383e-17
58063.2375000002	nan	nan	nan	nan	nan	nan	1.202113942250908e-16	7.765295257252922e-18	nan	nan	nan	nan	1.5830262264723135e-16	1.0902885395167828e-17
58063.2875000002	nan	nan	nan	nan	nan	nan	1.2180262123832848e-16	7.740165563072045e-18	nan	nan	nan	nan	1.624731674497477e-16	1.118467443566894e-17
58063.337500000205	nan	nan	nan	nan	nan	nan	1.2339795422584188e-16	7.717971461624804e-18	nan	nan	nan	nan	1.666504104080818e-16	1.1464173668207054e-17
58063.38750000021	nan	nan	nan	nan	nan	nan	1.2499724827764945e-16	7.698623947519684e-18	nan	nan	nan	nan	1.70833259038205e-16	1.1739993384153638e-17
58063.43750000021	nan	nan	nan	nan	nan	nan	1.2660035854493668e-16	7.682050948387403e-18	nan	nan	nan	nan	1.750206209551996e-16	1.2010981987038792e-17
58063.487500000214	nan	nan	nan	nan	nan	nan	1.2820714023732778e-16	7.668196846162618e-18	nan	nan	nan	nan	1.7921140384990115e-16	1.2276194243165657e-17
58063.53750000022	nan	nan	nan	nan	nan	nan	1.2981744862015749e-16	7.657021819511361e-18	nan	nan	nan	nan	1.8340451546561167e-16	1.253486378799291e-17
58063.58750000022	nan	nan	nan	nan	nan	nan	1.314311390117419e-16	7.648501013733381e-18	nan	nan	nan	nan	1.8759886357473294e-16	1.2786379531691977e-17
58063.63750000022	nan	nan	nan	nan	nan	nan	1.330480667806539e-16	7.642623544786961e-18	nan	nan	nan	nan	1.9179335595547414e-16	1.3030265529699494e-17
58063.687500000226	nan	nan	nan	nan	nan	nan	1.3466808734299198e-16	7.639391344626447e-18	nan	nan	nan	nan	1.959869003684786e-16	1.3266163869394153e-17
58063.73750000023	nan	nan	nan	nan	nan	nan	1.3629105615966031e-16	7.638817855625454e-18	nan	nan	nan	nan	2.0017840453355594e-16	1.3493820144691283e-17
58063.78750000023	nan	nan	nan	nan	nan	nan	1.3791682911038567e-16	7.640924543146352e-18	nan	nan	nan	nan	2.0436677610629914e-16	1.3713071127853903e-17
58063.837500000234	nan	nan	nan	nan	nan	nan	1.3954528222685376e-16	7.645632603082108e-18	nan	nan	nan	nan	2.0855092265479148e-16	1.3923834292075992e-17
58063.88750000024	nan	nan	nan	nan	nan	nan	1.411763213979173e-16	7.652710154677029e-18	nan	nan	nan	nan	2.1272975163625256e-16	1.4126098883060156e-17
58063.93750000024	nan	nan	nan	nan	nan	nan	1.4280985496077167e-16	7.661921939683639e-18	nan	nan	nan	nan	2.1690217037372624e-16	1.4319918279549022e-17
58063.98750000024	nan	nan	nan	nan	nan	nan	1.4444579128601392e-16	7.673043856382288e-18	nan	nan	nan	nan	2.2106708603272721e-16	1.450540342023483e-17
58064.037500000246	nan	nan	nan	nan	nan	nan	1.4608403877587278e-16	7.685864233962832e-18	nan	nan	nan	nan	2.2522340559790846e-16	1.4682717107405803e-17
58064.08750000025	nan	nan	nan	nan	nan	nan	1.4772450586242772e-16	7.700184914441058e-18	nan	nan	nan	nan	2.2937003584973613e-16	1.485206902541439e-17
58064.13750000025	nan	nan	nan	nan	nan	nan	1.4936710100583718e-16	7.715822151161698e-18	nan	nan	nan	nan	2.3350588334111167e-16	1.5013711336026357e-17
58064.187500000255	nan	nan	nan	nan	nan	nan	1.5101173269255623e-16	7.732607334545958e-18	nan	nan	nan	nan	2.3762985437406856e-16	1.5167934732613896e-17
58064.23750000026	nan	nan	nan	nan	nan	nan	1.5265830943356948e-16	7.750387556797613e-18	nan	nan	nan	nan	2.4174085497638673e-16	1.5315064851661205e-17
58064.28750000026	nan	nan	nan	nan	nan	nan	1.5430673976261275e-16	7.769026027624688e-18	nan	nan	nan	nan	2.458377908782342e-16	1.5455458954290363e-17
58064.33750000026	nan	nan	nan	nan	nan	nan	1.5595693223439523e-16	7.788402352920946e-18	nan	nan	nan	nan	2.4991956748884458e-16	1.558950280202337e-17
58064.387500000266	nan	nan	nan	nan	nan	nan	1.5760879542283041e-16	7.808412687858331e-18	nan	nan	nan	nan	2.539850898731042e-16	1.571760766101941e-17
