MJD	ZTF_g	ZTF_g_err	ZTF_i	ZTF_i_err	ZTF_r	ZTF_r_err	lascumbres_u'	lascumbres_u'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
59087.300000000076	1.9685074388101678e-16	2.4255268421596287e-17	5.362776570918782e-17	6.59455270953694e-18	1.2371925148043623e-16	4.860062194649701e-17	5.550533218592346e-16	1.560996211727212e-16	9.076000284069952e-16	1.9070914900027433e-16	3.210461808253803e-16	8.225963318025382e-17	nan	nan	nan	nan	nan	nan	nan	nan
59087.35000000008	2.0466690189223947e-16	2.3816995016500933e-17	5.574383496935785e-17	6.3114019443081295e-18	1.2716515829348236e-16	4.8036614381272744e-17	5.6266803564308285e-16	1.4801984375382441e-16	9.14370415609876e-16	1.8604657420138383e-16	3.243609290031432e-16	8.007681639366264e-17	nan	nan	nan	nan	nan	nan	nan	nan
59087.40000000008	2.1253903489846556e-16	2.3474386498224783e-17	5.787461420757252e-17	6.098908370072359e-18	1.3062490984092683e-16	4.7478641717507693e-17	5.703856199292769e-16	1.3993667459878065e-16	9.211911986861128e-16	1.8146725218567363e-16	3.2770796250113806e-16	7.793412591361823e-17	nan	nan	nan	nan	nan	nan	2.377710759548204e-16	2.1536633620600935e-16
59087.450000000084	2.204669652758527e-16	2.3228763847015785e-17	6.002018253206175e-17	5.963189386692901e-18	1.3409854890261756e-16	4.692683548418924e-17	5.782074476332919e-16	1.3185501105760202e-16	9.28062752022352e-16	1.7697765536448549e-16	3.3108758415195605e-16	7.58348369825172e-17	nan	nan	nan	nan	nan	nan	2.4725440386139803e-16	2.0393709669392348e-16
59087.50000000009	2.2844912034861963e-16	2.3077604783085398e-17	6.218061184346495e-17	5.907969655207428e-18	1.375861183766587e-16	4.638132925698008e-17	5.86134909813744e-16	1.2378039637345588e-16	9.34985452781505e-16	1.7258465125704104e-16	3.345000995548602e-16	7.37824290439857e-17	nan	nan	nan	nan	nan	nan	2.5700543980260673e-16	1.9248576052764776e-16
59087.55000000009	2.364836804033959e-16	2.3016799542388657e-17	6.435579988236812e-17	5.932321918948075e-18	1.41087661279737e-16	4.5842258582488255e-17	5.941694159102102e-16	1.1571919076522252e-16	9.419596809233036e-16	1.6829551136148723e-16	3.379458171005738e-16	7.178058954502297e-17	nan	nan	nan	nan	nan	nan	2.670308105202519e-16	1.8103426206560906e-16
59087.60000000009	2.445688271566978e-16	2.3041261350106025e-17	6.654547022621402e-17	6.0306470110132e-18	1.446032207473903e-16	4.5309760888849145e-17	6.023123939841362e-16	1.07678812601691e-16	9.489858192250012e-16	1.6411791468540752e-16	3.414250479962902e-16	6.983321435074914e-17	nan	nan	nan	nan	nan	nan	2.773372957246439e-16	1.696097785793217e-16
59087.650000000096	2.527027437021755e-16	2.3145108260522245e-17	6.874933923560616e-17	6.1949229530761394e-18	1.4813284003438148e-16	4.478397538144958e-17	6.105652909628811e-16	9.966808655916197e-17	9.560642533022317e-16	1.6005994421768234e-16	3.4493810629089606e-16	6.794440365302338e-17	nan	nan	nan	nan	nan	nan	2.8793183147553217e-16	1.5824643684203753e-16
59087.7000000001	2.6088361445786003e-16	2.3321876406528934e-17	7.096712363521915e-17	6.415816278035166e-18	1.5167656251492955e-16	4.426504292267071e-17	6.189295728869441e-16	9.169775935714847e-17	9.631953716300253e-16	1.561300743380721e-16	3.4848530890042944e-16	6.611845206119047e-17	1.7124533323735706e-16	1.7107410170387312e-17	2.6304978736266853e-16	2.609281757972657e-17	2.5118973668977235e-16	2.0631653906861632e-17	2.988215136355759e-16	1.4698771349077892e-16
59087.7500000001	2.691096251134548e-16	2.3564743052783412e-17	7.319854050591753e-17	6.6836914361668235e-18	1.5523443168311254e-16	4.3753105894481736e-17	6.2740672516039975e-16	8.378128556018814e-17	9.703795655639705e-16	1.523371468906373e-16	3.520669756337486e-16	6.435983138330135e-17	1.7124533308580096e-16	1.7107409990776777e-17	2.6304978749406707e-16	2.6092816326042426e-17	2.511897374600335e-16	2.0631653155706605e-17	3.1001360139788403e-16	1.358898418900407e-16
59087.800000000105	2.773789625776227e-16	2.3866739909054992e-17	7.544330727688114e-17	6.989371997749248e-18	1.588064911530714e-16	4.324830804266058e-17	6.359982528046015e-16	7.593606240326622e-17	9.77617229361543e-16	1.4869033342339511e-16	3.556834292184388e-16	6.267316446505053e-17	1.7124533293315692e-16	1.710740982204607e-17	2.6304978762278565e-16	2.609281509937569e-17	2.5118973822703886e-16	2.063165244424764e-17	3.2151552088916976e-16	1.2502666919563365e-16
59087.85000000011	2.856898149253352e-16	2.4220941883750734e-17	7.770114171773772e-17	7.324591997491206e-18	1.6239278465940773e-16	4.2750794301520796e-17	6.447056807151783e-16	6.818543698501341e-17	9.849087602035866e-16	1.4519908096397404e-16	3.593349953269403e-16	6.106318838674609e-17	1.7124533277942496e-16	1.710740966419531e-17	2.630497877488242e-16	2.6092813899726975e-17	2.511897389907892e-16	2.0631651772486167e-17	3.3333486885012094e-16	1.144965527665077e-16
59087.90000000011	2.9404037134523826e-16	2.4620622301350827e-17	7.997176193069885e-17	7.68218319760424e-18	1.6599335605746084e-16	4.226071059787725e-17	6.535305539223851e-16	6.056209119017031e-17	9.922545582159501e-16	1.418730387148466e-16	3.6302200260291254e-16	5.953470537106324e-17	1.7124533262460548e-16	1.7107409517224734e-17	2.6304978787218255e-16	2.6092812727097054e-17	2.51189739751284e-16	2.063165114042165e-17	3.454794163945907e-16	1.0443195577401827e-16
