MJD,Mag,Mag_err,band,Instr,source
57984.3,19.1,0.3,atlas_c,ATLAS,2019MNRAS.485.1559P
57988.29,19.3,0.2,atlas_c,ATLAS,2019MNRAS.485.1559P
57818.61,15.77,0.02,atlas_o,ATLAS,2019MNRAS.485.1559P
57822.64,15.83,0.03,atlas_o,ATLAS,2019MNRAS.485.1559P
57830.56,16.07,0.02,atlas_o,ATLAS,2019MNRAS.485.1559P
57850.52,16.95,0.02,atlas_o,ATLAS,2019MNRAS.485.1559P
57854.49,17.0,0.1,atlas_o,ATLAS,2019MNRAS.485.1559P
57858.51,17.24,0.06,atlas_o,ATLAS,2019MNRAS.485.1559P
57882.48,17.64,0.07,atlas_o,ATLAS,2019MNRAS.485.1559P
57887.56,17.7,0.1,atlas_o,ATLAS,2019MNRAS.485.1559P
57891.54,17.66,0.07,atlas_o,ATLAS,2019MNRAS.485.1559P
57892.55,17.68,0.07,atlas_o,ATLAS,2019MNRAS.485.1559P
57895.53,17.7,0.08,atlas_o,ATLAS,2019MNRAS.485.1559P
57896.52,17.75,0.06,atlas_o,ATLAS,2019MNRAS.485.1559P
57899.52,17.79,0.04,atlas_o,ATLAS,2019MNRAS.485.1559P
57900.52,17.8,0.03,atlas_o,ATLAS,2019MNRAS.485.1559P
57903.51,17.76,0.07,atlas_o,ATLAS,2019MNRAS.485.1559P
57904.5,17.92,0.07,atlas_o,ATLAS,2019MNRAS.485.1559P
57906.47,17.96,0.07,atlas_o,ATLAS,2019MNRAS.485.1559P
57907.49,17.92,0.04,atlas_o,ATLAS,2019MNRAS.485.1559P
57910.46,18.0,0.1,atlas_o,ATLAS,2019MNRAS.485.1559P
57912.5,18.0,0.2,atlas_o,ATLAS,2019MNRAS.485.1559P
57914.44,18.0,0.1,atlas_o,ATLAS,2019MNRAS.485.1559P
57915.49,17.9,0.1,atlas_o,ATLAS,2019MNRAS.485.1559P
57916.46,17.9,0.02,atlas_o,ATLAS,2019MNRAS.485.1559P
57925.43,18.1,0.1,atlas_o,ATLAS,2019MNRAS.485.1559P
57927.43,18.4,0.1,atlas_o,ATLAS,2019MNRAS.485.1559P
57929.43,18.31,0.09,atlas_o,ATLAS,2019MNRAS.485.1559P
57933.42,18.29,0.01,atlas_o,ATLAS,2019MNRAS.485.1559P
57937.41,18.15,0.04,atlas_o,ATLAS,2019MNRAS.485.1559P
57939.42,18.2,0.2,atlas_o,ATLAS,2019MNRAS.485.1559P
57941.4,18.2,0.2,atlas_o,ATLAS,2019MNRAS.485.1559P
57945.42,18.21,0.09,atlas_o,ATLAS,2019MNRAS.485.1559P
57949.39,18.54,0.06,atlas_o,ATLAS,2019MNRAS.485.1559P
57953.38,18.5,0.1,atlas_o,ATLAS,2019MNRAS.485.1559P
57955.37,18.5,0.2,atlas_o,ATLAS,2019MNRAS.485.1559P
57957.37,18.6,0.2,atlas_o,ATLAS,2019MNRAS.485.1559P
57959.37,18.5,0.05,atlas_o,ATLAS,2019MNRAS.485.1559P
57965.36,18.77,0.09,atlas_o,ATLAS,2019MNRAS.485.1559P
57967.35,18.5,0.2,atlas_o,ATLAS,2019MNRAS.485.1559P
57969.34,18.8,0.1,atlas_o,ATLAS,2019MNRAS.485.1559P
57972.32,18.6,0.3,atlas_o,ATLAS,2019MNRAS.485.1559P
57974.28,18.6,0.1,atlas_o,ATLAS,2019MNRAS.485.1559P
57976.32,18.62,0.04,atlas_o,ATLAS,2019MNRAS.485.1559P
57978.32,18.8,0.06,atlas_o,ATLAS,2019MNRAS.485.1559P
57980.3,18.9,0.05,atlas_o,ATLAS,2019MNRAS.485.1559P
57982.3,19.0,0.3,atlas_o,ATLAS,2019MNRAS.485.1559P
57990.27,19.0,0.1,atlas_o,ATLAS,2019MNRAS.485.1559P
